,Layer,Head_and_neck_neoplasm nodes,Colon_cancer nodes,sAB
0,coex_KDN,45,45,-0.34867495176483954
1,coex_BST,31,32,0.31854038658474115
2,coex_OVR,38,28,-0.6140200929674611
3,coex_LNG,41,41,-0.1585365853658538
4,coex_ITI,43,41,-0.14493693109688577
5,coex_VGN,42,39,-0.41503866503866504
6,coex_HRV,21,28,0.38151741875146117
7,coex_MSG,44,42,-0.1380121816168327
8,coex_ADV,26,25,-0.23538461538461553
9,coex_EMS,34,33,0.0004177807486631657
10,coex_SMU,27,28,-0.2912457912457913
11,coex_ARG,37,31,-0.18998613998614
12,coex_TST,39,41,-0.2768839899937461
13,coex_PIT,36,37,0.028981035830350832
14,coex_LVR,38,40,-0.4098009446693658
15,coex_THY,37,37,-0.22972972972972938
16,coex_PNC,36,34,-0.3519433465085642
17,coex_ATC,36,33,-0.14174836601307184
18,coex_BRO,39,35,0.04458964458964454
19,coex_SKN,39,37,-0.27910256410256395
20,coex_ADS,33,32,0.046875
21,coex_GEJ,40,35,-0.10848873348873367
22,coex_BRB,33,30,0.11882762046696471
23,coex_UTR,27,28,-0.1812289562289564
24,coex_STM,44,40,-0.39058441558441537
25,coex_HRA,36,33,0.058734402852050005
26,coex_PRS,35,30,-0.34743589743589753
27,coex_ATA,31,35,-0.058827764976958186
28,coex_FIB,33,33,-0.4616477272727273
29,coex_BRC,35,36,-0.0850715403532305
30,coex_ATT,34,31,-0.16602611520277888
31,coex_TNV,27,27,-0.2415983487412059
32,coex_SPL,37,34,-0.4112552900871045
33,coex_LCL,27,29,-0.2962962962962965
34,coex_CLS,43,41,-0.22003112863985974
35,coex_EMC,38,37,-0.23368104947052304
36,coex_CLT,43,36,-0.10428571428571409
37,coex_core,44,42,-0.2716450216450217
38,coex_WBL,36,42,-0.3465367965367965
39,co-essential,19,17,-0.8847222222222224
40,GOBP,16,9,0.6380952380952385
41,ppi,49,50,-0.17236239950525656
42,reactome_copathway,28,35,-0.20428240740740744
43,MP,9,15,-1.0785714285714292
44,HP,21,22,-0.48874962247055276
45,GI_net,29,26,-0.2781167108753315
46,gene_gene_on_CbG_name_mapped,20,18,-0.439766081871345
47,gene_gene_on_GcG_name_mapped,32,33,-0.26266754079254095
48,GOMF,4,4,
