,Layer,Renal_neoplasm nodes,Neoplasm_of_the_skin nodes,sAB
0,coex_KDN,40,44,-0.1390245556912224
1,coex_BST,32,33,-0.1389058857808858
2,coex_OVR,31,33,-0.027083333333333348
3,coex_LNG,37,38,-0.15983404457088657
4,coex_ITI,40,40,-0.3374999999999999
5,coex_VGN,31,35,-0.329423264907136
6,coex_HRV,21,29,-0.20899470899470884
7,coex_MSG,39,44,-0.29844904091892044
8,coex_ADV,34,32,0.11948529411764719
9,coex_EMS,28,34,-0.021918767507002723
10,coex_SMU,34,30,-0.2734661606578115
11,coex_ARG,36,32,-0.2209595959595958
12,coex_TST,39,38,-0.1306193806193805
13,coex_PIT,35,29,-0.27700505489552163
14,coex_LVR,37,32,-0.04271322953388168
15,coex_THY,31,33,0.08805290811339184
16,coex_PNC,35,31,0.1263248847926266
17,coex_ATC,35,38,-0.004511278195488577
18,coex_BRO,40,37,-0.1554853061702377
19,coex_SKN,35,38,0.09567782067782105
20,coex_ADS,29,36,0.4263467344668679
21,coex_GEJ,31,34,-0.4791013584117034
22,coex_BRB,20,29,-0.4031667839549613
23,coex_UTR,33,30,0.07842261904761916
24,coex_STM,34,36,-0.08804855275443524
25,coex_HRA,31,32,-0.2544482846902203
26,coex_PRS,28,33,-0.3285341707472853
27,coex_ATA,32,31,-0.016340446579988566
28,coex_FIB,34,29,-0.1378728427493099
29,coex_BRC,36,34,-0.1990896358543417
30,coex_ATT,33,33,0.1226783968719456
31,coex_TNV,19,28,-0.015225563909774031
32,coex_SPL,33,32,0.043079836829836626
33,coex_LCL,35,24,-0.04621974726922251
34,coex_CLS,34,32,-0.21505376344086025
35,coex_EMC,33,31,-0.09983198924731185
36,coex_CLT,36,33,-0.15318627450980404
37,coex_core,42,46,-0.041031432335780105
38,coex_WBL,39,38,-0.11964292227450124
39,co-essential,18,10,0.8420634920634922
40,GOBP,15,16,0.3305555555555557
41,ppi,50,50,-0.1200000000000001
42,reactome_copathway,18,27,0.3861416361416361
43,MP,13,9,-0.9052197802197806
44,HP,20,24,0.11098484848484858
45,GI_net,25,24,0.4288297872340425
46,gene_gene_on_CbG_name_mapped,12,15,-0.16111111111111098
47,gene_gene_on_GcG_name_mapped,37,39,-0.2778932778932779
48,GOMF,5,4,
