,Layer,Gastrointestinal_stromal_tumor nodes,Macular_degeneration nodes,sAB
0,coex_KDN,50,38,0.24157894736842112
1,coex_BST,39,19,0.14057579847053514
2,coex_OVR,41,33,0.5472346272758501
3,coex_LNG,46,27,0.3814567075436641
4,coex_ITI,47,35,0.1677218474312403
5,coex_VGN,44,34,0.5254714325921754
6,coex_HRV,19,24,0.4530038759689923
7,coex_MSG,47,36,0.11848457660428968
8,coex_ADV,40,22,0.3412023460410558
9,coex_EMS,44,25,0.4506192358366272
10,coex_SMU,38,27,0.18094167041535458
11,coex_ARG,41,26,0.008442776735460011
12,coex_TST,46,34,0.19079283887468046
13,coex_PIT,44,31,0.18975073313782964
14,coex_LVR,38,31,0.1517556162496001
15,coex_THY,40,28,0.5143772893772898
16,coex_PNC,40,29,0.24453165208440542
17,coex_ATC,45,29,0.22817460317460325
18,coex_BRO,46,32,0.2201435340022293
19,coex_SKN,45,35,0.36710515429800594
20,coex_ADS,32,27,0.7870629370629372
21,coex_GEJ,41,21,0.34060375849660174
22,coex_BRB,30,29,0.38853599516031445
23,coex_UTR,45,24,0.20000000000000018
24,coex_STM,44,33,0.23268398268398283
25,coex_HRA,42,34,0.21430464077522915
26,coex_PRS,46,31,0.21682665160926007
27,coex_ATA,36,30,0.6170329670329671
28,coex_FIB,37,27,-0.02320836965998252
29,coex_BRC,45,31,0.18717427104523887
30,coex_ATT,42,30,0.7427357749696579
31,coex_TNV,24,28,1.1051798378926039
32,coex_SPL,39,33,0.12509712509712512
33,coex_LCL,30,14,0.19936418833772485
34,coex_CLS,46,33,0.34100319969885184
35,coex_EMC,43,30,0.11986570586308565
36,coex_CLT,47,35,0.3408925791385575
37,coex_core,49,37,0.22205368633940048
38,coex_WBL,35,30,0.21007326007326022
39,co-essential,14,4,0.3427601809954752
40,GOBP,14,27,0.07936507936507953
41,ppi,50,50,0.26000000000000023
42,reactome_copathway,16,10,0.3125
43,MP,14,18,2.1932726771436446
44,HP,28,30,0.3937602627257799
45,GI_net,25,10,0.12857142857142856
46,gene_gene_on_CbG_name_mapped,12,8,0.029166666666666563
47,gene_gene_on_GcG_name_mapped,38,36,0.1189347241978822
48,GOMF,3,5,
