,Layer,Carcinoma_of_pancreas nodes,Rectal_neoplasm nodes,sAB
0,coex_KDN,46,48,-0.24438213074313908
1,coex_BST,37,45,-0.10248297077565383
2,coex_OVR,41,45,-0.3272956450494737
3,coex_LNG,43,47,-0.046027819011490445
4,coex_ITI,46,47,-0.18262908696646862
5,coex_VGN,42,47,-0.22962842799084737
6,coex_HRV,19,16,-0.47307330827067684
7,coex_MSG,45,48,-0.019130824372759925
8,coex_ADV,38,42,-0.012938596491228083
9,coex_EMS,39,44,-0.2302672227371021
10,coex_SMU,38,42,-0.10585839598997482
11,coex_ARG,36,44,-0.030934343434343425
12,coex_TST,45,48,-0.2285618279569892
13,coex_PIT,40,45,-0.018545751633987084
14,coex_LVR,41,44,-0.22512390765618884
15,coex_THY,35,35,-0.2852941176470587
16,coex_PNC,40,44,-0.2783549783549786
17,coex_ATC,43,44,-0.04524001989802251
18,coex_BRO,39,42,-0.10280151946818594
19,coex_SKN,44,47,-0.06873180011477897
20,coex_ADS,24,31,-0.29259259259259274
21,coex_GEJ,38,43,-0.2513208248764389
22,coex_BRB,14,17,-0.21387910002710742
23,coex_UTR,35,43,-0.19288695800323707
24,coex_STM,45,47,-0.052251002158494986
25,coex_HRA,36,42,-0.13736263736263732
26,coex_PRS,41,45,-0.29521018465998594
27,coex_ATA,33,40,0.057908757908757824
28,coex_FIB,39,46,-0.2287239838727253
29,coex_BRC,38,45,-0.20436130486859727
30,coex_ATT,36,40,-0.05047619047619101
31,coex_TNV,21,11,0.7458874458874458
32,coex_SPL,42,46,-0.17626576322228482
33,coex_LCL,36,38,-0.32992584200226593
34,coex_CLS,42,46,-0.018233578016186636
35,coex_EMC,42,45,-0.22838468720821647
36,coex_CLT,44,48,-0.07638888888888884
37,coex_core,45,48,-0.0028225806451611657
38,coex_WBL,40,43,-0.13085948444942574
39,co-essential,22,25,0.12422360248447184
40,GOBP,12,18,2.0164705882352942
41,ppi,50,49,-0.08103896103896102
42,reactome_copathway,31,25,0.04230769230769238
43,MP,15,20,2.5296934865900385
44,HP,22,30,-0.11037296037296018
45,GI_net,37,35,-0.2333655083655084
46,gene_gene_on_CbG_name_mapped,8,15,-0.09456521739130452
47,gene_gene_on_GcG_name_mapped,43,40,-0.32308419725413273
48,GOMF,3,6,
