,Layer,Parkinson_disease nodes,Alzheimer_disease nodes,sAB
0,coex_KDN,43,42,0.011904761904761862
1,coex_BST,23,23,0.102173913043478
2,coex_OVR,31,30,0.25517241379310374
3,coex_LNG,35,35,0.21428571428571397
4,coex_ITI,38,39,-0.06321748427011586
5,coex_VGN,34,34,-0.07352941176470584
6,coex_HRV,27,21,-0.39916997895721273
7,coex_MSG,37,39,-0.16012875223401535
8,coex_ADV,26,33,0.15012247639366283
9,coex_EMS,29,31,0.2666666666666666
10,coex_SMU,27,33,-0.2698622881355932
11,coex_ARG,29,34,0.003702630477478319
12,coex_TST,31,33,0.013089565004887671
13,coex_PIT,31,36,-0.04024902369871075
14,coex_LVR,31,35,0.1341269841269841
15,coex_THY,25,31,0.019371069182389622
16,coex_PNC,28,32,-0.234375
17,coex_ATC,26,40,0.09134615384615374
18,coex_BRO,41,38,0.047318048130514656
19,coex_SKN,34,35,0.21638655462184886
20,coex_ADS,27,30,0.7446127946127947
21,coex_GEJ,30,32,0.4192981793457733
22,coex_BRB,27,22,0.12645159073730494
23,coex_UTR,25,22,0.8588095238095237
24,coex_STM,35,33,0.05769034886681945
25,coex_HRA,30,29,0.13928571428571446
26,coex_PRS,30,28,0.16941707717569798
27,coex_ATA,26,38,-0.0762932604735882
28,coex_FIB,24,29,0.0123617436564738
29,coex_BRC,34,32,-0.13828542780748654
30,coex_ATT,30,33,-0.06382490107405303
31,coex_TNV,20,28,0.09074074074074057
32,coex_SPL,28,29,-0.09263460375075616
33,coex_LCL,15,23,0.08680351906158368
34,coex_CLS,37,35,0.3759661835748793
35,coex_EMC,32,34,0.023456429718289318
36,coex_CLT,36,33,0.09313282074476104
37,coex_core,38,42,0.04994009413778344
38,coex_WBL,26,36,0.12351805900193025
39,co-essential,10,11,-0.42192982456140316
40,GOBP,13,10,-0.3611111111111116
41,ppi,48,50,0.09998299319727888
42,reactome_copathway,15,25,0.5017857142857145
43,MP,13,16,0.740384615384615
44,HP,23,27,0.06779388083735927
45,GI_net,22,23,0.1871686108165429
46,gene_gene_on_CbG_name_mapped,17,11,0.0452635599694422
47,gene_gene_on_GcG_name_mapped,29,35,0.03911637931034484
48,GOMF,5,5,
