,Layer,Cellulitis nodes,Cholangitis nodes,sAB
0,coex_KDN,45,42,0.0979925303454714
1,coex_BST,22,25,0.6041392649903288
2,coex_OVR,38,26,-0.22569547569547588
3,coex_LNG,42,30,0.3515920611123011
4,coex_ITI,44,35,0.10530577017918796
5,coex_VGN,41,28,0.20978960064325936
6,coex_HRV,34,25,0.6070388833499503
7,coex_MSG,45,32,0.040606962481962494
8,coex_ADV,30,28,0.6700808625336927
9,coex_EMS,30,23,0.4618266338528847
10,coex_SMU,31,28,0.36028035348918186
11,coex_ARG,27,21,0.5125661375661372
12,coex_TST,35,32,0.034021855010660795
13,coex_PIT,36,32,0.046875
14,coex_LVR,36,31,0.2192850160592097
15,coex_THY,41,27,0.5108930021561986
16,coex_PNC,34,25,0.06279162512462633
17,coex_ATC,42,22,0.22653958944281505
18,coex_BRO,39,25,0.16604010025062643
19,coex_SKN,33,26,0.39015151515151514
20,coex_ADS,39,28,0.9153846153846157
21,coex_GEJ,35,28,0.7241114149008885
22,coex_BRB,31,21,-0.05459057071960305
23,coex_UTR,27,19,-0.17521367521367548
24,coex_STM,43,33,0.2915136678906569
25,coex_HRA,27,27,0.6792184056334998
26,coex_PRS,37,26,0.4515431560592851
27,coex_ATA,38,21,0.16029480480863167
28,coex_FIB,20,19,-0.053362573099414945
29,coex_BRC,25,29,0.15076923076923077
30,coex_ATT,36,23,0.29819938515590705
31,coex_TNV,30,20,0.27166666666666694
32,coex_SPL,38,23,0.29601275917065406
33,coex_LCL,24,19,0.13094145246838051
34,coex_CLS,39,30,0.2846003498988572
35,coex_EMC,40,21,-0.07499999999999996
36,coex_CLT,44,32,0.47773470453541145
37,coex_core,46,38,0.4266685507742194
38,coex_WBL,37,28,0.3683862433862437
39,co-essential,8,11,-0.05950956937799079
40,GOBP,12,24,1.1904761904761902
41,ppi,50,48,0.10142857142857142
42,reactome_copathway,21,17,0.22676282051282026
43,MP,11,17,1.198051948051948
44,HP,33,21,0.07527657527657539
45,GI_net,21,18,-0.19365079365079385
46,gene_gene_on_CbG_name_mapped,8,13,0.22390109890109877
47,gene_gene_on_GcG_name_mapped,30,30,-0.1166666666666667
48,GOMF,2,6,
