,Layer,Chorea nodes,Enterocolitis nodes,sAB
0,coex_KDN,42,43,0.1161487850954337
1,coex_BST,40,17,0.2759049773755655
2,coex_OVR,37,34,0.2932373932373933
3,coex_LNG,40,41,0.4624999999999999
4,coex_ITI,45,36,0.3115079365079365
5,coex_VGN,41,31,0.43006412458490795
6,coex_HRV,19,30,0.008037952022914574
7,coex_MSG,44,41,0.08107147515325419
8,coex_ADV,33,41,0.5478316453926211
9,coex_EMS,40,30,0.5102941176470588
10,coex_SMU,37,30,0.22355116310340195
11,coex_ARG,38,33,0.3694431340836082
12,coex_TST,47,38,0.07404979909096898
13,coex_PIT,45,35,0.3537698412698411
14,coex_LVR,33,41,0.2780707536805098
15,coex_THY,37,33,0.5214097496706191
16,coex_PNC,36,34,0.4101774042950517
17,coex_ATC,38,39,0.297040678619626
18,coex_BRO,42,36,0.6521645021645022
19,coex_SKN,41,31,0.06197001486143927
20,coex_ADS,33,31,0.7456856702619414
21,coex_GEJ,44,38,0.9909378596087457
22,coex_BRB,26,31,0.229346515553412
23,coex_UTR,31,18,0.6158630748112559
24,coex_STM,43,35,0.4693841042678253
25,coex_HRA,40,29,0.4254201680672267
26,coex_PRS,39,31,0.4465041599766457
27,coex_ATA,36,40,0.36944444444444446
28,coex_FIB,27,18,0.5148148148148146
29,coex_BRC,44,24,0.01671122994652441
30,coex_ATT,39,32,0.563629918468628
31,coex_TNV,21,27,0.6405190554126725
32,coex_SPL,35,35,0.05714285714285716
33,coex_LCL,26,26,0.17883861236802412
34,coex_CLS,39,31,0.5483161999291033
35,coex_EMC,39,31,-0.041214699279215505
36,coex_CLT,42,32,0.5505952380952381
37,coex_core,43,43,0.4186046511627908
38,coex_WBL,35,40,0.09752935420743647
39,co-essential,13,5,-0.405128205128205
40,GOBP,23,20,0.9501987281399042
41,ppi,50,50,0.25
42,reactome_copathway,16,24,1.028571428571429
43,MP,17,21,1.4326388888888895
44,HP,26,19,1.0223796671165095
45,GI_net,21,21,0.2103948896631822
46,gene_gene_on_CbG_name_mapped,8,12,0.21666666666666656
47,gene_gene_on_GcG_name_mapped,38,33,0.09165599658557388
48,GOMF,3,3,
