,Layer,Diarrhea nodes,Cholangitis nodes,sAB
0,coex_KDN,36,42,-0.18598579782790314
1,coex_BST,19,25,-0.14148325358851643
2,coex_OVR,24,26,-0.1123717948717946
3,coex_LNG,30,30,-0.09298029556650267
4,coex_ITI,37,35,-0.12434577434577454
5,coex_VGN,22,28,-0.06547619047619047
6,coex_HRV,21,25,0.10333333333333328
7,coex_MSG,35,32,-0.09500932835820897
8,coex_ADV,26,28,0.1951626804567983
9,coex_EMS,23,23,-0.021739130434782705
10,coex_SMU,19,28,-0.08731443994601884
11,coex_ARG,18,21,-0.11573050272740693
12,coex_TST,28,32,-0.5318452380952381
13,coex_PIT,31,32,-0.11687568343357024
14,coex_LVR,28,31,-0.20104662969616482
15,coex_THY,20,27,0.36881270903010055
16,coex_PNC,28,25,-0.003865546218487559
17,coex_ATC,24,22,0.20129870129870087
18,coex_BRO,26,25,-0.27300150829562564
19,coex_SKN,22,26,0.11313131313131297
20,coex_ADS,20,28,0.38004895960832297
21,coex_GEJ,28,28,0.02060439560439553
22,coex_BRB,22,21,-0.07188160676532784
23,coex_UTR,15,19,0.3110599078341014
24,coex_STM,31,33,0.10719086021505375
25,coex_HRA,22,27,-0.03592861039669537
26,coex_PRS,24,26,-0.4217028985507245
27,coex_ATA,20,21,0.04432234432234461
28,coex_FIB,19,19,-0.2279645191409898
29,coex_BRC,23,29,-0.10173913043478278
30,coex_ATT,20,23,0.011042097998620104
31,coex_TNV,15,20,-0.125
32,coex_SPL,24,23,0.06933465085639012
33,coex_LCL,14,19,0.20871143375680568
34,coex_CLS,25,30,-0.18742587601078164
35,coex_EMC,27,21,-0.1492119779353822
36,coex_CLT,30,32,-0.20239154616240262
37,coex_core,32,38,-0.08989194473065454
38,coex_WBL,26,28,0.11703703703703705
39,co-essential,7,11,-0.7125668449197864
40,GOBP,21,24,0.7255639097744364
41,ppi,49,48,-0.049600252472123074
42,reactome_copathway,18,17,-0.3080357142857144
43,MP,19,17,-1.1463293650793656
44,HP,23,21,0.08545078110295501
45,GI_net,13,18,-0.2929560860595344
46,gene_gene_on_CbG_name_mapped,7,13,-0.48681318681318686
47,gene_gene_on_GcG_name_mapped,26,30,-0.02042124542124535
48,GOMF,8,6,
