,Layer,Renal_neoplasm nodes,Rectal_neoplasm nodes,sAB
0,coex_KDN,40,48,-0.15077917771883276
1,coex_BST,32,45,0.027827380952380798
2,coex_OVR,31,45,-0.10444444444444434
3,coex_LNG,37,47,-0.017148607574139607
4,coex_ITI,40,47,-0.10648691611640992
5,coex_VGN,31,47,-0.10542386005666704
6,coex_HRV,21,16,-0.5071991634491635
7,coex_MSG,39,48,-0.05188992042440321
8,coex_ADV,34,42,-0.05590885002649704
9,coex_EMS,28,44,-0.13571428571428568
10,coex_SMU,34,42,0.03976853899454502
11,coex_ARG,36,44,0.042676767676767646
12,coex_TST,39,48,-0.04252320954907152
13,coex_PIT,35,45,0.022602796392818814
14,coex_LVR,37,44,-0.0992393909060576
15,coex_THY,31,35,0.039770981706465314
16,coex_PNC,35,44,-0.11883116883116918
17,coex_ATC,35,44,0.0737752753575538
18,coex_BRO,40,42,-0.12098344693281371
19,coex_SKN,35,47,-0.04154496256208762
20,coex_ADS,29,31,0.7918330308529944
21,coex_GEJ,31,43,-0.31111333867949775
22,coex_BRB,20,17,-0.3038155802861682
23,coex_UTR,33,43,-0.10116763565891485
24,coex_STM,34,47,-0.047289049583584264
25,coex_HRA,31,42,-0.02449340319424298
26,coex_PRS,28,45,-0.08568710589258544
27,coex_ATA,32,40,0.045808504875406
28,coex_FIB,34,46,-0.1921675191815857
29,coex_BRC,36,45,-0.03240740740740744
30,coex_ATT,33,40,0.0484848484848488
31,coex_TNV,19,11,1.260423786739576
32,coex_SPL,33,46,-0.09234335651506798
33,coex_LCL,35,38,-0.12679472654238322
34,coex_CLS,34,46,-0.08264121679091407
35,coex_EMC,33,45,-0.13024440836940832
36,coex_CLT,36,48,-0.11011904761904767
37,coex_core,42,48,0.028769841269841168
38,coex_WBL,39,43,-0.08415870384106339
39,co-essential,18,25,0.3772761055369749
40,GOBP,15,18,0.403322440087146
41,ppi,50,49,-0.008816738816738834
42,reactome_copathway,18,25,0.48888888888888893
43,MP,13,20,1.3594901267315063
44,HP,20,30,-0.16666666666666674
45,GI_net,25,35,-0.10384236453201967
46,gene_gene_on_CbG_name_mapped,12,15,-0.07222222222222219
47,gene_gene_on_GcG_name_mapped,37,40,-0.2129124254124255
48,GOMF,5,6,
