,Layer,Neoplasm_of_ovary nodes,Germ_cell_tumor_of_testis nodes,sAB
0,coex_KDN,47,36,0.09988179669030739
1,coex_BST,43,24,0.09021028578040036
2,coex_OVR,40,29,-0.11699693139855416
3,coex_LNG,47,37,0.4210567298571488
4,coex_ITI,47,31,0.18836562659486478
5,coex_VGN,43,36,0.31895381545808377
6,coex_HRV,16,20,0.5034722222222223
7,coex_MSG,45,36,0.27592592592592613
8,coex_ADV,35,30,0.22619047619047628
9,coex_EMS,38,32,0.5931390977443609
10,coex_SMU,37,24,0.22574213557820144
11,coex_ARG,40,27,-0.06184355997788815
12,coex_TST,45,39,0.24987789987789988
13,coex_PIT,42,30,0.10555555555555562
14,coex_LVR,39,27,0.21497021497021507
15,coex_THY,37,26,0.2701957540667217
16,coex_PNC,37,25,0.26156931124673033
17,coex_ATC,38,31,0.2840330297885476
18,coex_BRO,38,32,0.2412342215988783
19,coex_SKN,42,38,0.5432330827067671
20,coex_ADS,28,31,0.8305542081008972
21,coex_GEJ,41,31,0.8259499829708559
22,coex_BRB,18,16,0.3096405228758172
23,coex_UTR,39,27,0.16381766381766383
24,coex_STM,46,29,0.14708645677161414
25,coex_HRA,38,27,0.153225806451613
26,coex_PRS,43,33,0.03634078052682699
27,coex_ATA,35,26,0.49281057925125715
28,coex_FIB,42,23,0.07869087434304833
29,coex_BRC,42,31,0.16437830103318385
30,coex_ATT,33,28,0.6299322262437017
31,coex_TNV,16,24,0.7319819819819817
32,coex_SPL,39,25,0.07892628205128194
33,coex_LCL,38,22,0.06411483253588512
34,coex_CLS,43,30,0.12338855261760662
35,coex_EMC,40,32,0.3073529411764706
36,coex_CLT,45,28,0.25277777777777777
37,coex_core,47,36,0.4296868324361274
38,coex_WBL,36,29,0.35745652814618323
39,co-essential,28,9,1.0974025974025974
40,GOBP,16,18,1.1463601532567056
41,ppi,50,49,0.14954236239950536
42,reactome_copathway,34,17,0.7268907563025209
43,MP,13,23,1.3506493506493507
44,HP,25,18,0.4406201550387594
45,GI_net,38,17,0.3226073131955485
46,gene_gene_on_CbG_name_mapped,10,13,-0.08595317725752505
47,gene_gene_on_GcG_name_mapped,38,38,0.14473684210526327
48,GOMF,1,4,
