,Layer,Chorea nodes,Bronchiolitis nodes,sAB
0,coex_KDN,42,34,0.2560076662243844
1,coex_BST,40,23,0.32170164917541255
2,coex_OVR,37,25,0.2172961896322554
3,coex_LNG,40,34,0.27738169364881715
4,coex_ITI,45,32,0.6317252736607575
5,coex_VGN,41,25,0.3286770140428674
6,coex_HRV,19,27,0.7828629544876682
7,coex_MSG,44,32,0.15071770334928236
8,coex_ADV,33,29,0.506134762530758
9,coex_EMS,40,22,0.5458430913348944
10,coex_SMU,37,25,0.3806800348735835
11,coex_ARG,38,24,0.4080008488964344
12,coex_TST,47,30,0.27176936538638663
13,coex_PIT,45,31,0.14090865058606994
14,coex_LVR,33,31,0.31283602150537626
15,coex_THY,37,28,1.0542328042328042
16,coex_PNC,36,28,0.3251408090117769
17,coex_ATC,38,29,0.2563939690073993
18,coex_BRO,42,32,0.42273741135871035
19,coex_SKN,41,23,0.16420334040296902
20,coex_ADS,33,29,0.7570532915360504
21,coex_GEJ,44,30,1.0060160427807485
22,coex_BRB,26,26,0.43680241327300173
23,coex_UTR,31,13,0.02478704091607309
24,coex_STM,43,28,0.49050699546113896
25,coex_HRA,40,26,0.5988461538461536
26,coex_PRS,39,24,0.3899747793190418
27,coex_ATA,36,32,0.2821310116086235
28,coex_FIB,27,19,0.20662768031189094
29,coex_BRC,44,22,0.6249999999999996
30,coex_ATT,39,24,0.7544261294261294
31,coex_TNV,21,24,0.41967814793901725
32,coex_SPL,35,26,0.05292740046838418
33,coex_LCL,26,22,0.21777777777777763
34,coex_CLS,39,27,0.4989639989639989
35,coex_EMC,39,24,0.14720695970695985
36,coex_CLT,42,27,0.6781173497591411
37,coex_core,43,36,0.4538533172254102
38,coex_WBL,35,37,0.3078923461276406
39,co-essential,13,7,0.8472527472527469
40,GOBP,23,16,1.1084987593052107
41,ppi,50,50,0.4700000000000002
42,reactome_copathway,16,24,0.7391304347826086
43,MP,17,13,2.507543103448276
44,HP,26,19,0.9978182636077375
45,GI_net,21,17,0.4045284780578897
46,gene_gene_on_CbG_name_mapped,8,14,0.23701298701298712
47,gene_gene_on_GcG_name_mapped,38,38,0.1578947368421053
48,GOMF,3,2,
