,Layer,Head_and_neck_cancer nodes,Colon_cancer nodes,sAB
0,coex_KDN,47,45,-0.29100790513833985
1,coex_BST,35,32,0.10233875266524506
2,coex_OVR,39,28,-0.6766381766381768
3,coex_LNG,44,41,-0.10800508673535947
4,coex_ITI,47,41,-0.21847431240269843
5,coex_VGN,43,39,-0.36239946478176766
6,coex_HRV,24,28,-0.08602564102564081
7,coex_MSG,43,42,-0.117047749332291
8,coex_ADV,27,25,-0.16131054131054157
9,coex_EMS,33,33,-0.10839889277389281
10,coex_SMU,26,28,-0.5249287749287752
11,coex_ARG,38,31,-0.26682615629984063
12,coex_TST,41,41,-0.29268292682926833
13,coex_PIT,37,37,-0.04054054054054057
14,coex_LVR,40,40,-0.4125000000000001
15,coex_THY,39,37,-0.2529452529452527
16,coex_PNC,36,34,-0.38394817742643816
17,coex_ATC,34,33,-0.22600067842605154
18,coex_BRO,38,35,-0.044201256566072544
19,coex_SKN,41,37,-0.1938153310104529
20,coex_ADS,34,32,-0.21047794117647056
21,coex_GEJ,40,35,-0.19182206682206693
22,coex_BRB,32,30,0.11790994623655915
23,coex_UTR,30,28,0.09761904761904772
24,coex_STM,46,40,-0.4483316481294237
25,coex_HRA,34,33,-0.1491672652778886
26,coex_PRS,35,30,-0.32875457875457914
27,coex_ATA,31,35,-0.031105990783410142
28,coex_FIB,36,33,-0.20812603648424544
29,coex_BRC,39,36,-0.2632905982905982
30,coex_ATT,35,31,-0.16843317972350258
31,coex_TNV,23,27,-0.2719404186795491
32,coex_SPL,38,34,-0.3931888544891642
33,coex_LCL,33,29,-0.2531986531986532
34,coex_CLS,46,41,-0.25069400408652154
35,coex_EMC,42,37,-0.39682539682539675
36,coex_CLT,43,36,-0.0767531651252582
37,coex_core,46,42,-0.20340411189753982
38,coex_WBL,38,42,-0.3426065162907268
39,co-essential,24,17,-0.25535714285714306
40,GOBP,15,9,1.3809523809523805
41,ppi,49,50,-0.18256648113790974
42,reactome_copathway,25,35,-0.20057870370370368
43,MP,13,15,-0.5944444444444446
44,HP,22,22,-0.5454545454545456
45,GI_net,29,26,-0.4053894381480587
46,gene_gene_on_CbG_name_mapped,15,18,-0.4343434343434345
47,gene_gene_on_GcG_name_mapped,31,33,-0.23406952590420338
48,GOMF,6,4,
