,Layer,Spondylolysis nodes,Spinal_cord_tumor nodes,sAB
0,coex_KDN,45,44,0.054187946884576066
1,coex_BST,33,34,0.4974654634581106
2,coex_OVR,32,37,0.18742655699177435
3,coex_LNG,39,42,0.4852033930981301
4,coex_ITI,40,40,0.21250000000000013
5,coex_VGN,41,37,0.18085627841725427
6,coex_HRV,26,25,0.7772435897435896
7,coex_MSG,43,42,-0.01156602175754018
8,coex_ADV,25,35,0.5343825665859563
9,coex_EMS,35,37,0.08087955395329027
10,coex_SMU,32,36,0.44066584967320277
11,coex_ARG,30,37,0.12841199408363568
12,coex_TST,42,42,0.14285714285714302
13,coex_PIT,42,43,0.24614031659175284
14,coex_LVR,39,38,0.16822212874844467
15,coex_THY,33,36,0.6046881862099256
16,coex_PNC,36,40,0.4219298245614034
17,coex_ATC,38,39,0.2435678356730986
18,coex_BRO,38,41,0.5451044462597734
19,coex_SKN,42,40,0.31017294941345575
20,coex_ADS,38,31,1.1425899953249181
21,coex_GEJ,35,38,0.3666186012977648
22,coex_BRB,34,31,0.5313409234661606
23,coex_UTR,31,35,0.4454212454212456
24,coex_STM,39,40,0.1907335280753002
25,coex_HRA,33,39,0.14685314685314688
26,coex_PRS,35,37,0.3300622050622053
27,coex_ATA,32,32,0.671875
28,coex_FIB,34,37,0.2746870731543476
29,coex_BRC,37,41,0.3646282304818891
30,coex_ATT,39,36,0.6890505890505889
31,coex_TNV,35,10,0.4669642857142855
32,coex_SPL,36,37,0.2571106821106821
33,coex_LCL,15,34,0.018037518037518296
34,coex_CLS,41,40,0.17168021680216805
35,coex_EMC,44,39,0.28922774756108094
36,coex_CLT,44,41,0.27397186147186137
37,coex_core,42,40,0.4585478771454381
38,coex_WBL,27,38,0.18969860548807893
39,co-essential,7,14,0.9761904761904763
40,GOBP,20,15,0.3141705069124425
41,ppi,46,49,-0.00127492644655125
42,reactome_copathway,15,21,0.8203947368421054
43,MP,16,12,0.6939393939393939
44,HP,23,22,0.33750548967940275
45,GI_net,20,20,0.2250000000000001
46,gene_gene_on_CbG_name_mapped,6,6,-0.08333333333333326
47,gene_gene_on_GcG_name_mapped,34,32,0.023729946524064127
48,GOMF,6,6,
