,Layer,Emphysema nodes,Bronchiectasis nodes,sAB
0,coex_KDN,36,38,-0.11085914681805109
1,coex_BST,23,26,-0.170479612894044
2,coex_OVR,29,23,-0.021789907185444157
3,coex_LNG,33,42,0.3781973938223935
4,coex_ITI,30,31,-0.1324167107350609
5,coex_VGN,29,29,0.07262651141961496
6,coex_HRV,31,24,0.004293136450642665
7,coex_MSG,38,39,0.06415076151918253
8,coex_ADV,21,20,-0.513095238095238
9,coex_EMS,25,28,-0.02277526395173446
10,coex_SMU,21,27,0.03588681849551434
11,coex_ARG,23,22,-0.13636363636363624
12,coex_TST,27,38,-0.11692907482381165
13,coex_PIT,29,36,0.018681318681318837
14,coex_LVR,40,29,0.27877098026351765
15,coex_THY,25,31,0.21959131545338417
16,coex_PNC,27,31,0.029824561403508865
17,coex_ATC,26,28,0.2793040293040292
18,coex_BRO,26,37,0.18902418902418905
19,coex_SKN,31,26,0.10299145299145285
20,coex_ADS,27,26,-0.019230769230769162
21,coex_GEJ,24,28,0.20100732600732618
22,coex_BRB,24,32,0.2806712962962965
23,coex_UTR,20,20,-0.1947368421052631
24,coex_STM,35,35,-0.15714285714285725
25,coex_HRA,25,27,0.22487179487179487
26,coex_PRS,23,30,-0.03456385015039665
27,coex_ATA,22,28,-0.3079220779220777
28,coex_FIB,21,22,0.11421708372927908
29,coex_BRC,24,23,0.0194264569842737
30,coex_ATT,29,31,-0.20395341070384898
31,coex_TNV,23,17,-0.08418062200956955
32,coex_SPL,32,27,-0.05068071249215311
33,coex_LCL,22,26,0.22400932400932416
34,coex_CLS,27,34,-0.1191849529780562
35,coex_EMC,32,34,0.011085115864527761
36,coex_CLT,28,30,-0.319023569023569
37,coex_core,33,38,0.024096803273004674
38,coex_WBL,33,30,0.15879002463054182
39,co-essential,7,4,-0.2646103896103895
40,GOBP,17,29,1.4549450549450547
41,ppi,49,49,0.08163265306122436
42,reactome_copathway,29,18,0.21110139860139854
43,MP,13,16,2.640758547008547
44,HP,22,34,0.5187165775401068
45,GI_net,18,21,-0.10188760188760182
46,gene_gene_on_CbG_name_mapped,15,12,0.17592592592592604
47,gene_gene_on_GcG_name_mapped,29,35,-0.26696428571428577
48,GOMF,5,7,
