,Layer,Vitiligo nodes,Primary_dilated_cardiomyopathy nodes,sAB
0,coex_KDN,41,31,0.12058592122923129
1,coex_BST,25,21,0.1365413533834583
2,coex_OVR,30,24,0.3272435897435897
3,coex_LNG,36,25,0.37349726775956293
4,coex_ITI,37,27,0.21740490490490494
5,coex_VGN,34,28,0.1584938050455289
6,coex_HRV,18,40,1.1150862068965517
7,coex_MSG,34,44,0.5740607431783902
8,coex_ADV,26,20,0.45668896321070207
9,coex_EMS,25,34,0.507058823529412
10,coex_SMU,24,36,0.598611111111111
11,coex_ARG,25,21,0.36499999999999977
12,coex_TST,31,30,-0.06877313590692746
13,coex_PIT,27,26,-0.10122339534104241
14,coex_LVR,26,18,0.06721056721056717
15,coex_THY,29,31,0.5627880184331797
16,coex_PNC,30,16,0.10116279069767442
17,coex_ATC,32,38,1.0943443812898306
18,coex_BRO,30,27,0.26793372319688125
19,coex_SKN,30,24,0.287962962962963
20,coex_ADS,27,21,0.41647157190635475
21,coex_GEJ,23,24,0.5968379446640317
22,coex_BRB,26,21,0.1687423687423686
23,coex_UTR,23,22,0.3104743083003956
24,coex_STM,33,29,0.3973876698014631
25,coex_HRA,22,43,0.8096601073345258
26,coex_PRS,21,43,0.6354339700996676
27,coex_ATA,31,19,0.38149405772495726
28,coex_FIB,21,17,0.30768096712369153
29,coex_BRC,30,30,-0.003030303030302939
30,coex_ATT,29,29,0.5623342175066313
31,coex_TNV,17,26,0.7941176470588234
32,coex_SPL,29,23,0.16886748933225704
33,coex_LCL,23,24,0.38925438596491224
34,coex_CLS,30,28,0.1166666666666667
35,coex_EMC,31,19,0.3878395585738539
36,coex_CLT,30,24,0.2592592592592591
37,coex_core,36,41,1.1277642276422764
38,coex_WBL,33,34,0.8097147950089125
39,co-essential,6,11,0.6488413547237077
40,GOBP,16,23,2.5738636363636367
41,ppi,49,49,0.2857142857142858
42,reactome_copathway,23,17,0.9662546177891445
43,MP,19,25,1.4945426829268298
44,HP,23,38,0.8540252091383127
45,GI_net,16,17,0.2309203853955375
46,gene_gene_on_CbG_name_mapped,6,11,0.058377896613190705
47,gene_gene_on_GcG_name_mapped,29,27,-0.017058930852034138
48,GOMF,10,2,
