,Layer,Macular_degeneration nodes,Carcinoma_of_pancreas nodes,sAB
0,coex_KDN,38,46,0.21853546910755162
1,coex_BST,19,37,0.26874146874146865
2,coex_OVR,33,41,0.08536585365853666
3,coex_LNG,27,43,0.1017409452697624
4,coex_ITI,35,46,0.22949543746645196
5,coex_VGN,34,42,0.29462866227572104
6,coex_HRV,24,19,0.2020858833129333
7,coex_MSG,36,45,0.23179012345679006
8,coex_ADV,22,38,0.3109250398724084
9,coex_EMS,25,39,-0.008060897435897552
10,coex_SMU,27,38,0.24673114409956498
11,coex_ARG,26,36,0.1489316239316243
12,coex_TST,34,45,-0.027066269545793054
13,coex_PIT,31,40,-0.013056565197637537
14,coex_LVR,31,41,0.1931331410088295
15,coex_THY,28,35,0.5310532687651333
16,coex_PNC,29,40,0.22997941327843519
17,coex_ATC,29,43,0.1599760059062385
18,coex_BRO,32,39,0.04170052365474897
19,coex_SKN,35,44,0.16140477169888912
20,coex_ADS,27,24,0.2561538461538464
21,coex_GEJ,21,38,0.19492481203007506
22,coex_BRB,29,14,-0.27695039523427667
23,coex_UTR,24,35,0.34640839386602096
24,coex_STM,33,45,0.4379953379953383
25,coex_HRA,34,36,0.4509803921568629
26,coex_PRS,31,41,0.20020325203252032
27,coex_ATA,30,33,0.3500993541977149
28,coex_FIB,27,39,0.10963562753036449
29,coex_BRC,31,38,0.07695816334287775
30,coex_ATT,30,36,0.46720406030750894
31,coex_TNV,28,21,0.43571428571428594
32,coex_SPL,33,42,0.1056709956709958
33,coex_LCL,14,36,0.4336734693877551
34,coex_CLS,33,42,0.4615726739014412
35,coex_EMC,30,42,0.34999999999999987
36,coex_CLT,35,44,0.5100649350649351
37,coex_core,37,45,0.237274774774775
38,coex_WBL,30,40,0.3791666666666669
39,co-essential,4,22,1.173809523809524
40,GOBP,27,12,1.145833333333333
41,ppi,50,50,0.19999999999999996
42,reactome_copathway,10,31,0.06929824561403519
43,MP,18,15,2.130824372759857
44,HP,30,22,0.89988344988345
45,GI_net,10,37,0.15738930419781472
46,gene_gene_on_CbG_name_mapped,8,8,-0.1875
47,gene_gene_on_GcG_name_mapped,36,43,-0.05418179439374593
48,GOMF,5,3,
