,Layer,Epididymitis nodes,Prostatitis nodes,sAB
0,coex_KDN,42,35,-0.17809523809523808
1,coex_BST,29,19,-0.07694962042788145
2,coex_OVR,30,15,-0.12964621585311242
3,coex_LNG,35,30,0.5976190476190477
4,coex_ITI,43,28,0.19113518319217637
5,coex_VGN,30,18,-0.00529828952857736
6,coex_HRV,21,21,-0.25357142857142834
7,coex_MSG,42,30,0.08055555555555549
8,coex_ADV,38,24,-0.18508771929824563
9,coex_EMS,29,16,-0.28007662835249025
10,coex_SMU,24,16,-0.23857302118171697
11,coex_ARG,25,21,-0.15586932447397572
12,coex_TST,28,23,-0.0961362805991961
13,coex_PIT,33,25,-0.1402716823406478
14,coex_LVR,28,30,-0.11190476190476217
15,coex_THY,24,26,0.07782745205105446
16,coex_PNC,27,22,-0.0992063492063493
17,coex_ATC,32,17,0.4125337635054023
18,coex_BRO,31,28,-0.021151669496321635
19,coex_SKN,32,18,0.4358333333333331
20,coex_ADS,31,18,0.18336259234876762
21,coex_GEJ,36,18,-0.020541549953314586
22,coex_BRB,25,17,-0.14762820512820496
23,coex_UTR,20,14,0.0640236956026432
24,coex_STM,32,25,0.41414575866188796
25,coex_HRA,28,23,-0.15204284162828152
26,coex_PRS,28,24,-0.23537037037037023
27,coex_ATA,29,19,0.030926675663518033
28,coex_FIB,22,23,-0.2473210364514713
29,coex_BRC,29,23,-0.15436512512974288
30,coex_ATT,26,14,0.4942857142857142
31,coex_TNV,27,12,0.6951566951566952
32,coex_SPL,23,26,0.15896525834414055
33,coex_LCL,16,17,-0.21312388591800335
34,coex_CLS,35,21,0.2596136806663121
35,coex_EMC,28,18,-0.0603408029878616
36,coex_CLT,33,24,0.39102564102564097
37,coex_core,44,32,0.24555097107610235
38,coex_WBL,30,26,-0.21135531135531127
39,co-essential,15,7,0.8976190476190475
40,GOBP,9,18,0.7999999999999998
41,ppi,49,50,0.010653473510616518
42,reactome_copathway,22,16,0.6339285714285712
43,MP,15,16,-0.48825944170771773
44,HP,14,19,0.014638869902027674
45,GI_net,25,18,0.21081232492997204
46,gene_gene_on_CbG_name_mapped,10,14,-0.055952380952380976
47,gene_gene_on_GcG_name_mapped,28,31,-0.050671717566195484
48,GOMF,5,5,
