,Layer,beta_Thalassemia nodes,Atonic_seizure nodes,sAB
0,coex_KDN,29,38,0.2487913560111834
1,coex_BST,19,27,0.10818181818181838
2,coex_OVR,21,22,-0.19047619047619024
3,coex_LNG,31,24,0.28588709677419377
4,coex_ITI,24,36,0.1708333333333334
5,coex_VGN,25,30,-0.1715151515151514
6,coex_HRV,16,20,0.6159274193548385
7,coex_MSG,26,33,0.2180474892339297
8,coex_ADV,20,26,0.18309523809523842
9,coex_EMS,22,21,0.23575455552199776
10,coex_SMU,19,25,0.21997528367599184
11,coex_ARG,22,28,0.22824675324675336
12,coex_TST,24,35,0.15162429378531073
13,coex_PIT,25,38,0.13297297297297295
14,coex_LVR,33,28,0.13931430205015105
15,coex_THY,19,24,0.774802639330741
16,coex_PNC,21,25,-0.04853002070393364
17,coex_ATC,22,29,0.414914868768824
18,coex_BRO,24,38,0.22559422750424485
19,coex_SKN,18,26,0.30860805860805884
20,coex_ADS,16,27,0.46107158988256547
21,coex_GEJ,19,29,0.3158119658119656
22,coex_BRB,15,31,0.23365841460365067
23,coex_UTR,21,14,-0.042857142857142705
24,coex_STM,26,31,0.07382133995037221
25,coex_HRA,19,29,0.4145795523290987
26,coex_PRS,27,24,0.19153846153846166
27,coex_ATA,17,25,0.4681372549019609
28,coex_FIB,17,20,0.10902777777777772
29,coex_BRC,23,36,0.29236264636043563
30,coex_ATT,17,23,0.41440217391304346
31,coex_TNV,15,22,1.3777692895339952
32,coex_SPL,38,24,0.3584957908728401
33,coex_LCL,16,21,0.5508658008658007
34,coex_CLS,24,30,0.7451923076923075
35,coex_EMC,26,21,-0.22167832167832158
36,coex_CLT,24,34,0.1528361344537814
37,coex_core,32,34,0.6962655532912505
38,coex_WBL,34,28,0.1787114845938378
39,co-essential,11,9,0.20155502392344493
40,GOBP,28,17,0.999240890688259
41,ppi,50,50,0.20000000000000018
42,reactome_copathway,10,18,1.5992063492063495
43,MP,15,12,1.7251948051948052
44,HP,22,25,0.9469632495164411
45,GI_net,16,18,0.28819444444444464
46,gene_gene_on_CbG_name_mapped,15,22,0.13218673218673227
47,gene_gene_on_GcG_name_mapped,32,35,0.017264125799573593
48,GOMF,2,7,
