,Layer,Respiratory_insufficiency nodes,Oligomenorrhea nodes,sAB
0,coex_KDN,42,34,0.08130819895525776
1,coex_BST,34,28,0.2974789915966387
2,coex_OVR,34,33,-0.17827434003904585
3,coex_LNG,37,25,0.16798605056669613
4,coex_ITI,39,32,0.24077961357890953
5,coex_VGN,39,28,-0.005931879066207291
6,coex_HRV,19,13,0.25341599190283404
7,coex_MSG,43,29,0.44054619976833287
8,coex_ADV,33,27,0.38238708928364096
9,coex_EMS,33,21,0.017061370002546372
10,coex_SMU,41,24,0.18687460913070675
11,coex_ARG,36,32,0.4043138760880698
12,coex_TST,40,32,-0.029861111111111116
13,coex_PIT,38,32,0.3001609102196994
14,coex_LVR,39,29,0.16044776119402981
15,coex_THY,37,26,0.6430142006413195
16,coex_PNC,35,24,0.07310682893847176
17,coex_ATC,35,30,0.40384615384615374
18,coex_BRO,35,27,-0.046680320873869086
19,coex_SKN,37,30,0.20408870408870405
20,coex_ADS,29,23,0.8148092620356491
21,coex_GEJ,30,32,0.4989583333333334
22,coex_BRB,18,19,0.37217480638533296
23,coex_UTR,32,24,-0.0410879629629628
24,coex_STM,36,27,0.08399470899470907
25,coex_HRA,37,33,0.2929292929292928
26,coex_PRS,38,20,0.20372050816696907
27,coex_ATA,31,31,0.6073414905450498
28,coex_FIB,30,22,-0.009090909090909038
29,coex_BRC,37,29,0.09123178478017202
30,coex_ATT,40,28,0.17344847775175687
31,coex_TNV,18,22,1.5139180672268906
32,coex_SPL,34,24,0.25515551048005425
33,coex_LCL,28,18,-0.03166278166278169
34,coex_CLS,38,25,-0.23375424604932804
35,coex_EMC,36,26,-0.0194379391100703
36,coex_CLT,40,27,-0.07494172494172502
37,coex_core,41,36,0.45051490514905135
38,coex_WBL,36,28,0.5575071558678117
39,co-essential,13,9,0.05361305361305346
40,GOBP,20,17,0.7999999999999998
41,ppi,50,45,0.12163742690058488
42,reactome_copathway,7,17,0.5767045454545454
43,MP,13,12,0.958333333333333
44,HP,31,37,0.572388327606544
45,GI_net,17,17,-0.10465686274509789
46,gene_gene_on_CbG_name_mapped,12,6,0.5833333333333333
47,gene_gene_on_GcG_name_mapped,41,34,0.09363462458154004
48,GOMF,6,6,
