,Layer,Extrapyramidal_disease nodes,Rhabdomyosarcoma nodes,sAB
0,coex_KDN,37,43,-0.04484955117866507
1,coex_BST,30,32,0.008342602892102313
2,coex_OVR,29,36,0.17261904761904745
3,coex_LNG,29,35,0.23622229064039413
4,coex_ITI,38,41,0.17765392177572692
5,coex_VGN,36,37,0.13721255502077434
6,coex_HRV,17,20,0.4416136724960258
7,coex_MSG,37,43,0.20313482086737888
8,coex_ADV,31,29,0.37504634779384505
9,coex_EMS,23,35,0.20584415584415572
10,coex_SMU,21,35,0.17380952380952364
11,coex_ARG,30,31,0.3723163841807908
12,coex_TST,32,44,-0.09442284688995195
13,coex_PIT,33,36,0.04852876592007038
14,coex_LVR,29,36,-0.03877836722664307
15,coex_THY,22,31,0.7127745526363043
16,coex_PNC,32,30,0.22883835713026635
17,coex_ATC,30,37,0.2696465696465693
18,coex_BRO,38,32,0.2696663533834589
19,coex_SKN,33,39,0.22115384615384626
20,coex_ADS,30,24,0.9833333333333334
21,coex_GEJ,26,33,0.2346706965351033
22,coex_BRB,28,17,0.04912546413914365
23,coex_UTR,24,30,0.3472222222222219
24,coex_STM,33,39,0.15874125874125866
25,coex_HRA,27,35,0.2960317460317461
26,coex_PRS,29,35,0.2745381773399016
27,coex_ATA,30,28,0.4256629855007139
28,coex_FIB,21,35,0.11805449452508254
29,coex_BRC,28,37,0.20386904761904745
30,coex_ATT,28,35,0.6482612781954886
31,coex_TNV,21,20,1.0391180654338545
32,coex_SPL,28,35,0.17976190476190457
33,coex_LCL,18,32,0.12534722222222205
34,coex_CLS,31,38,0.1036207278364214
35,coex_EMC,32,36,0.21548202614379086
36,coex_CLT,33,41,0.011755658097121424
37,coex_core,38,42,0.2781954887218041
38,coex_WBL,27,36,0.2592592592592593
39,co-essential,10,20,2.0358695652173915
40,GOBP,16,18,0.38991596638655457
41,ppi,49,50,0.07850752422181007
42,reactome_copathway,15,19,0.31577060931899625
43,MP,19,14,1.66982905982906
44,HP,22,26,0.49961315280464236
45,GI_net,16,29,0.059818007662835404
46,gene_gene_on_CbG_name_mapped,14,9,0.04209799861973762
47,gene_gene_on_GcG_name_mapped,38,32,0.02187500000000009
48,GOMF,5,2,
