,Layer,Dystonic_disorder nodes,Bronchiolitis nodes,sAB
0,coex_KDN,45,34,0.4009597087780259
1,coex_BST,38,23,0.362128146453089
2,coex_OVR,41,25,0.4185506566604127
3,coex_LNG,40,34,0.45666251556662507
4,coex_ITI,47,32,0.5512859877903407
5,coex_VGN,46,25,0.3318738518064912
6,coex_HRV,20,27,1.2988179669030733
7,coex_MSG,42,32,0.2668918918918919
8,coex_ADV,38,29,0.8198446007259528
9,coex_EMS,42,22,0.5785658086995613
10,coex_SMU,41,25,0.46589800443458995
11,coex_ARG,45,24,0.6803743961352655
12,coex_TST,49,30,0.37861878928786696
13,coex_PIT,41,31,0.3208272451388108
14,coex_LVR,41,31,0.15709415158667706
15,coex_THY,33,28,1.3346801346801347
16,coex_PNC,42,28,0.3841991341991342
17,coex_ATC,43,29,0.7509794936418832
18,coex_BRO,43,32,0.602992297370117
19,coex_SKN,42,23,0.3237935977066413
20,coex_ADS,24,29,1.1012508451656524
21,coex_GEJ,44,30,0.7946893439777853
22,coex_BRB,19,26,0.4241602067183461
23,coex_UTR,36,13,0.08295723189340176
24,coex_STM,45,28,0.6024842357034137
25,coex_HRA,43,26,0.5355950752393981
26,coex_PRS,39,24,0.45260613703236663
27,coex_ATA,34,32,0.9133522727272725
28,coex_FIB,38,19,0.6430622009569378
29,coex_BRC,42,22,0.8661390692640691
30,coex_ATT,40,24,1.3072916666666665
31,coex_TNV,11,24,0.8694489653568938
32,coex_SPL,41,26,0.33363669457590106
33,coex_LCL,38,22,0.28217164532954
34,coex_CLS,45,27,0.40092592592592613
35,coex_EMC,38,24,0.3023839841539335
36,coex_CLT,47,27,0.3248620961386919
37,coex_core,46,36,0.8960144927536229
38,coex_WBL,41,37,0.4670055164278528
39,co-essential,14,7,0.7130647130647128
40,GOBP,18,16,0.8338827838827845
41,ppi,50,50,0.3999999999999999
42,reactome_copathway,12,24,0.333536029188203
43,MP,16,13,2.120512820512821
44,HP,33,19,0.8909029566924302
45,GI_net,25,17,0.17794117647058805
46,gene_gene_on_CbG_name_mapped,11,14,0.11064935064935066
47,gene_gene_on_GcG_name_mapped,32,38,0.10364191729323302
48,GOMF,6,2,
