,Layer,Infection_of_bone nodes,Urinary_bladder_inflammation nodes,sAB
0,coex_KDN,30,34,-0.17568542568542544
1,coex_BST,19,21,1.2187412976886662
2,coex_OVR,18,25,0.32289972899729014
3,coex_LNG,20,32,0.9729371816638372
4,coex_ITI,20,32,0.16694078947368407
5,coex_VGN,16,27,0.4334186159844058
6,coex_HRV,17,29,0.4279457864650562
7,coex_MSG,24,33,0.10237240829346095
8,coex_ADV,34,23,0.4968850416420747
9,coex_EMS,27,17,0.7665840282473142
10,coex_SMU,12,20,0.6891495601173023
11,coex_ARG,11,22,0.5424783549783552
12,coex_TST,14,30,0.14047619047619042
13,coex_PIT,19,34,-0.04050567595459231
14,coex_LVR,27,26,0.2181163063516005
15,coex_THY,9,21,0.2232142857142856
16,coex_PNC,30,25,0.7257982120051083
17,coex_ATC,16,26,0.17010073260073266
18,coex_BRO,13,34,0.09803119283720063
19,coex_SKN,15,24,0.572303921568627
20,coex_ADS,24,26,1.612948717948718
21,coex_GEJ,20,22,0.16704260651629088
22,coex_BRB,11,29,0.06657824933687051
23,coex_UTR,6,14,1.826190476190476
24,coex_STM,22,25,0.47272727272727266
25,coex_HRA,18,24,0.7118055555555554
26,coex_PRS,12,20,0.45626134301270405
27,coex_ATA,28,25,0.6302258355916894
28,coex_FIB,6,20,-0.13525641025641
29,coex_BRC,8,31,-0.25166410650281623
30,coex_ATT,26,21,0.5683333333333334
31,coex_TNV,31,21,0.6884408602150538
32,coex_SPL,25,23,0.9008695652173913
33,coex_LCL,7,15,-0.22857142857142865
34,coex_CLS,17,23,0.43449197860962574
35,coex_EMC,15,24,0.43864734299516916
36,coex_CLT,16,25,0.4649122807017545
37,coex_core,41,33,0.25505050505050497
38,coex_WBL,24,26,0.5172435897435901
39,co-essential,7,10,-0.2542016806722689
40,GOBP,23,4,1.5238095238095237
41,ppi,47,50,0.20323755209475758
42,reactome_copathway,16,26,0.6477477477477478
43,MP,13,9,-0.0969696969696967
44,HP,12,16,0.3139880952380951
45,GI_net,15,19,0.0077850877192982
46,gene_gene_on_CbG_name_mapped,14,17,-0.12984548658172956
47,gene_gene_on_GcG_name_mapped,29,33,-0.07926315434658049
48,GOMF,6,3,
