,Layer,Kidney_failure nodes,Kidney_damage nodes,sAB
0,coex_KDN,39,46,0.3356810282641485
1,coex_BST,21,35,0.535714285714286
2,coex_OVR,29,37,0.41400491400491424
3,coex_LNG,33,41,0.5613451589061347
4,coex_ITI,33,43,0.32017063555272385
5,coex_VGN,33,39,0.3924825174825175
6,coex_HRV,22,24,0.3990557751427315
7,coex_MSG,39,44,0.18254837531945967
8,coex_ADV,24,30,0.338888888888889
9,coex_EMS,22,34,0.36051693404634566
10,coex_SMU,26,35,0.26411457395063964
11,coex_ARG,25,36,0.37952380952380915
12,coex_TST,33,43,0.23168651014428243
13,coex_PIT,26,43,0.30159964740348966
14,coex_LVR,31,25,0.3182133995037222
15,coex_THY,24,40,0.6124999999999998
16,coex_PNC,27,32,0.40935930634023876
17,coex_ATC,31,38,0.6665805467385155
18,coex_BRO,27,42,0.43721866856195213
19,coex_SKN,29,40,0.46939655172413786
20,coex_ADS,27,30,0.3378167641325538
21,coex_GEJ,22,33,0.6166666666666667
22,coex_BRB,29,32,0.3869047619047621
23,coex_UTR,20,32,0.524703302373581
24,coex_STM,27,39,0.3544418544418544
25,coex_HRA,26,36,0.572024482109228
26,coex_PRS,18,32,0.3455555555555554
27,coex_ATA,31,32,0.6461021505376343
28,coex_FIB,18,28,0.2832988267770875
29,coex_BRC,17,37,0.47282576694341416
30,coex_ATT,30,36,0.7792929292929291
31,coex_TNV,27,29,0.7439591315453384
32,coex_SPL,30,33,0.7272005772005774
33,coex_LCL,15,18,0.5877976190476191
34,coex_CLS,30,37,0.40535162027699334
35,coex_EMC,25,39,0.34301282051282045
36,coex_CLT,34,39,0.3177405306651373
37,coex_core,33,42,0.5561923583662716
38,coex_WBL,26,17,0.6374229691876749
39,co-essential,6,4,0.20000000000000018
40,GOBP,13,25,1.281862745098039
41,ppi,50,48,0.23251700680272114
42,reactome_copathway,22,13,1.3599067599067598
43,MP,10,22,1.2857954545454549
44,HP,24,21,0.35991140642303443
45,GI_net,23,14,0.09689440993788834
46,gene_gene_on_CbG_name_mapped,15,4,0.16096491228070198
47,gene_gene_on_GcG_name_mapped,23,34,-0.10546506932292377
48,GOMF,1,4,
