,Layer,Ewing_sarcoma nodes,Lymphangiomyomatosis nodes,sAB
0,coex_KDN,43,44,-0.33720930232558155
1,coex_BST,35,28,0.3165898617511518
2,coex_OVR,37,30,-0.1671608912988225
3,coex_LNG,34,31,0.09943803824259234
4,coex_ITI,41,38,0.005675078403016176
5,coex_VGN,38,36,-0.10467045993361768
6,coex_HRV,21,30,-0.2564625850340134
7,coex_MSG,38,41,-0.06912464860824508
8,coex_ADV,29,19,0.02503024803387799
9,coex_EMS,32,33,0.09139714452214442
10,coex_SMU,37,33,-0.17588932806324098
11,coex_ARG,34,29,-0.1467877473570074
12,coex_TST,43,41,-0.13098614374848072
13,coex_PIT,38,39,-0.05938833570412516
14,coex_LVR,38,39,-0.05239497344760502
15,coex_THY,43,37,-0.03583646938077312
16,coex_PNC,38,35,0.1356730868266558
17,coex_ATC,39,32,-0.09573578595317733
18,coex_BRO,37,30,-0.1575757575757577
19,coex_SKN,37,34,0.04099397657806936
20,coex_ADS,31,34,0.5746588958163912
21,coex_GEJ,31,33,-0.32258064516129026
22,coex_BRB,24,24,-0.17382878328277718
23,coex_UTR,30,25,0.016363636363636136
24,coex_STM,40,39,0.0015011359948069458
25,coex_HRA,35,31,0.17071638039379988
26,coex_PRS,35,29,-0.0017703201970444837
27,coex_ATA,34,32,-0.006800558312654914
28,coex_FIB,33,22,-0.2926733193277311
29,coex_BRC,38,33,-0.1059202102567558
30,coex_ATT,37,34,-0.02773109243697469
31,coex_TNV,16,25,0.40631578947368396
32,coex_SPL,36,29,-0.15216622458001772
33,coex_LCL,30,21,-0.0680272108843536
34,coex_CLS,37,36,-0.34236574236574224
35,coex_EMC,35,33,-0.13780650319829446
36,coex_CLT,34,32,0.21758449883449882
37,coex_core,42,41,-0.10975609756097571
38,coex_WBL,37,32,0.014890569917743735
39,co-essential,12,12,0.20183982683982693
40,GOBP,10,11,-0.46339869281045765
41,ppi,50,50,-0.1299999999999999
42,reactome_copathway,20,24,-0.20559954751131237
43,MP,10,10,-0.7374999999999998
44,HP,23,23,-0.021739130434782705
45,GI_net,31,26,-0.10937965260545912
46,gene_gene_on_CbG_name_mapped,8,16,-0.32291666666666674
47,gene_gene_on_GcG_name_mapped,28,38,-0.07228298017771695
48,GOMF,5,4,
