,Layer,Periodontitis nodes,Otitis_media nodes,sAB
0,coex_KDN,36,35,0.12857142857142856
1,coex_BST,19,25,-0.009485094850948617
2,coex_OVR,20,26,-0.22157190635451496
3,coex_LNG,28,38,0.35133453291348005
4,coex_ITI,28,32,-0.14732142857142883
5,coex_VGN,21,28,0.08255693581780532
6,coex_HRV,25,19,0.14621583027335783
7,coex_MSG,30,41,-0.03723806252147033
8,coex_ADV,27,30,-0.07146129732336615
9,coex_EMS,19,26,-0.26074935400516797
10,coex_SMU,17,22,-0.049140049140049324
11,coex_ARG,17,19,-0.37254901960784337
12,coex_TST,21,33,0.12097162097162095
13,coex_PIT,24,34,0.08391265597147957
14,coex_LVR,30,27,-0.061097427476737964
15,coex_THY,17,23,0.3205680441512988
16,coex_PNC,24,23,0.3191699604743081
17,coex_ATC,27,30,-0.0002923976608188994
18,coex_BRO,21,33,0.2932900432900434
19,coex_SKN,17,29,-0.25135841170323925
20,coex_ADS,20,23,0.1618504772004239
21,coex_GEJ,26,35,0.15894736842105273
22,coex_BRB,20,29,0.4333272193690392
23,coex_UTR,12,17,0.4024064171122994
24,coex_STM,27,32,0.2672924513496546
25,coex_HRA,25,22,0.6155303030303032
26,coex_PRS,18,30,-0.300479766374635
27,coex_ATA,19,24,0.035034231921266645
28,coex_FIB,14,22,-0.22380952380952346
29,coex_BRC,16,24,-0.14791666666666714
30,coex_ATT,18,27,0.22357723577235733
31,coex_TNV,18,16,0.14778297682709418
32,coex_SPL,26,24,0.07673076923076927
33,coex_LCL,11,13,-0.08333333333333348
34,coex_CLS,18,31,-0.1338709677419354
35,coex_EMC,23,32,-0.12608695652173907
36,coex_CLT,18,30,-0.1606884057971012
37,coex_core,31,36,0.11763044200731154
38,coex_WBL,28,26,0.3846153846153846
39,co-essential,10,10,-0.2999999999999998
40,GOBP,17,16,0.36255411255411296
41,ppi,49,49,-0.08163265306122458
42,reactome_copathway,29,20,0.17611865028424734
43,MP,15,17,0.008258475804114873
44,HP,13,22,0.28088578088578076
45,GI_net,21,21,-0.5203634085213036
46,gene_gene_on_CbG_name_mapped,25,8,0.03234848484848474
47,gene_gene_on_GcG_name_mapped,30,29,-0.15283459964932788
48,GOMF,2,8,
