,Layer,Severe_myoclonic_epilepsy_in_infancy nodes,Immunodeficiency nodes,sAB
0,coex_KDN,34,41,0.262568149210904
1,coex_BST,25,22,0.2500000000000002
2,coex_OVR,18,30,0.01703758050053006
3,coex_LNG,27,34,0.131085038751384
4,coex_ITI,33,35,0.3052711993888464
5,coex_VGN,34,31,0.3955772879871553
6,coex_HRV,16,21,0.3068452380952382
7,coex_MSG,25,35,0.31952380952380954
8,coex_ADV,23,27,0.28305958132045106
9,coex_EMS,28,25,0.8187464387464387
10,coex_SMU,24,30,-0.012037037037037068
11,coex_ARG,30,24,0.48301282051282035
12,coex_TST,32,38,-0.05375939849624056
13,coex_PIT,35,36,0.17127207690587976
14,coex_LVR,22,35,0.37211209842788806
15,coex_THY,23,34,0.9075757575757577
16,coex_PNC,30,30,0.09642857142857197
17,coex_ATC,29,35,0.1754926108374384
18,coex_BRO,45,32,0.232206937799043
19,coex_SKN,25,34,0.15200206398348826
20,coex_ADS,21,28,0.5678824721377915
21,coex_GEJ,29,23,0.48197492163009414
22,coex_BRB,35,26,0.43307512159971173
23,coex_UTR,17,22,0.6986584107327141
24,coex_STM,29,30,0.11808883693746353
25,coex_HRA,23,26,0.3955873319227359
26,coex_PRS,23,25,0.2296376811594203
27,coex_ATA,25,34,0.15436950642325886
28,coex_FIB,16,21,0.10277777777777763
29,coex_BRC,37,28,0.4037430287430288
30,coex_ATT,26,25,0.3114328808446454
31,coex_TNV,21,24,0.502657004830918
32,coex_SPL,24,39,0.10927960927960911
33,coex_LCL,11,15,0.34084321475625856
34,coex_CLS,31,25,0.18283410138248857
35,coex_EMC,22,36,0.37521769418321127
36,coex_CLT,30,32,0.1314180107526881
37,coex_core,32,38,0.5086466165413535
38,coex_WBL,18,28,0.35481366459627317
39,co-essential,6,7,-0.3058608058608061
40,GOBP,29,20,0.9687581021519311
41,ppi,50,49,0.3762275819418677
42,reactome_copathway,13,17,1.0960338680926915
43,MP,12,13,0.9420289855072466
44,HP,20,38,0.8181941923774954
45,GI_net,17,21,0.06848002358838245
46,gene_gene_on_CbG_name_mapped,17,7,0.3347338935574229
47,gene_gene_on_GcG_name_mapped,38,33,0.13918839993710264
48,GOMF,6,8,
