,Layer,Sepsis nodes,Sinusitis nodes,sAB
0,coex_KDN,39,41,0.12534485556637476
1,coex_BST,19,21,0.6319548872180452
2,coex_OVR,27,33,0.45059439736346496
3,coex_LNG,33,43,0.24726744186046545
4,coex_ITI,34,39,0.20193635417330502
5,coex_VGN,19,31,0.5020373514431238
6,coex_HRV,33,28,0.43678919950106376
7,coex_MSG,39,40,0.24156118143459926
8,coex_ADV,34,31,0.4870259931929759
9,coex_EMS,24,27,0.45424836601307206
10,coex_SMU,25,32,0.16261574074074048
11,coex_ARG,20,28,0.06607142857142856
12,coex_TST,26,38,0.18920799595141702
13,coex_PIT,32,33,0.24624125874125857
14,coex_LVR,36,35,0.175655624568668
15,coex_THY,21,37,0.37265291607396867
16,coex_PNC,29,34,-0.15935890485226345
17,coex_ATC,28,38,0.0033165033165032387
18,coex_BRO,32,36,0.14756944444444442
19,coex_SKN,23,33,0.2863064608347625
20,coex_ADS,23,37,0.18026951436562388
21,coex_GEJ,30,30,0.7612117669978571
22,coex_BRB,33,28,0.3294600136705401
23,coex_UTR,20,23,0.7265444015444014
24,coex_STM,34,37,0.38639467968382646
25,coex_HRA,31,23,0.6419580419580417
26,coex_PRS,26,32,0.33122807017543865
27,coex_ATA,31,35,0.3958525345622119
28,coex_FIB,23,20,-0.03023255813953485
29,coex_BRC,25,25,0.2599999999999998
30,coex_ATT,22,35,0.017857142857142794
31,coex_TNV,23,22,0.3728984194100473
32,coex_SPL,32,37,0.10787732704241249
33,coex_LCL,19,21,0.11477411477411459
34,coex_CLS,28,29,0.6443675062738174
35,coex_EMC,28,36,0.16493055555555536
36,coex_CLT,31,35,0.5735481932236495
37,coex_core,38,40,0.16950245700245703
38,coex_WBL,34,37,0.29183367294386353
39,co-essential,11,4,0.665151515151515
40,GOBP,8,18,2.5095238095238095
41,ppi,49,49,0.26530612244897944
42,reactome_copathway,26,19,0.28766917293233085
43,MP,8,17,0.4240196078431371
44,HP,14,28,0.04166666666666674
45,GI_net,22,19,0.1841478696741854
46,gene_gene_on_CbG_name_mapped,17,11,0.2358670741023683
47,gene_gene_on_GcG_name_mapped,32,28,0.0608630952380953
48,GOMF,3,1,
