,Layer,Extrapyramidal_disease nodes,Urticaria nodes,sAB
0,coex_KDN,37,39,0.04833679833679838
1,coex_BST,30,16,0.37011494252873556
2,coex_OVR,29,25,0.10815363881401652
3,coex_LNG,29,31,0.981646273637375
4,coex_ITI,38,33,0.2876429229283195
5,coex_VGN,36,27,0.03803418803418812
6,coex_HRV,17,20,1.0989495798319329
7,coex_MSG,37,33,0.2240084240084239
8,coex_ADV,31,28,0.6873041474654378
9,coex_EMS,23,21,0.4564935064935063
10,coex_SMU,21,21,0.19047619047619024
11,coex_ARG,30,21,0.7957446808510638
12,coex_TST,32,21,-0.1492447214734951
13,coex_PIT,33,30,0.216161616161616
14,coex_LVR,29,32,0.1818928988895383
15,coex_THY,22,24,0.48108741612280514
16,coex_PNC,32,23,0.25486987688951235
17,coex_ATC,30,26,0.49423076923076925
18,coex_BRO,38,26,0.4463826232247283
19,coex_SKN,33,31,0.22732240437158469
20,coex_ADS,30,28,0.8137426900584797
21,coex_GEJ,26,30,0.8709401709401705
22,coex_BRB,28,19,0.24142137258038732
23,coex_UTR,24,14,-0.06422305764411051
24,coex_STM,33,27,0.09305700685011042
25,coex_HRA,27,21,0.38729399255715036
26,coex_PRS,29,24,0.18274235523747584
27,coex_ATA,30,25,0.2500202839756591
28,coex_FIB,21,16,0.249235842985843
29,coex_BRC,28,19,0.08548454469507094
30,coex_ATT,28,29,0.49971580143993943
31,coex_TNV,21,18,1.2222222222222219
32,coex_SPL,28,35,0.3416453764814422
33,coex_LCL,18,14,0.034400656814449704
34,coex_CLS,31,27,0.3550417324610873
35,coex_EMC,32,26,0.37396978021978033
36,coex_CLT,33,26,0.3361581920903953
37,coex_core,38,35,0.5304203020921285
38,coex_WBL,27,37,0.2659221721721723
39,co-essential,10,5,1.6
40,GOBP,16,25,0.9286240786240789
41,ppi,49,48,0.16647599761554122
42,reactome_copathway,15,22,0.7214285714285715
43,MP,19,17,1.674836601307189
44,HP,22,25,0.7438684719535784
45,GI_net,16,15,0.10272988505747094
46,gene_gene_on_CbG_name_mapped,14,13,0.07102157102157092
47,gene_gene_on_GcG_name_mapped,38,31,0.09572230014025251
48,GOMF,5,8,
