,Layer,Nephrotic_syndrome nodes,Kidney_failure nodes,sAB
0,coex_KDN,43,39,0.005054030862312375
1,coex_BST,19,21,0.1599624060150373
2,coex_OVR,23,29,0.2157190635451509
3,coex_LNG,28,33,0.49814234296992943
4,coex_ITI,35,33,0.04989697802197801
5,coex_VGN,29,33,0.1280041797283178
6,coex_HRV,22,22,0.11363636363636376
7,coex_MSG,31,39,0.07081413210445464
8,coex_ADV,25,24,0.4542424242424241
9,coex_EMS,20,22,-0.11385281385281365
10,coex_SMU,22,26,-0.18240093240093258
11,coex_ARG,19,25,0.35458646616541367
12,coex_TST,31,33,-0.07731549364613888
13,coex_PIT,31,26,0.046624004179182554
14,coex_LVR,39,31,0.012106173396496
15,coex_THY,26,24,0.08127551020408186
16,coex_PNC,29,27,0.07982120051085584
17,coex_ATC,24,31,0.02748044965786911
18,coex_BRO,27,27,-0.23856209150326801
19,coex_SKN,31,29,0.13939356486631227
20,coex_ADS,21,27,0.0988756613756614
21,coex_GEJ,23,22,0.29839599227870206
22,coex_BRB,25,29,0.08404312668463598
23,coex_UTR,18,20,0.2979876160990713
24,coex_STM,33,27,0.2784511784511785
25,coex_HRA,25,26,0.34608695652173926
26,coex_PRS,27,18,-0.372222222222222
27,coex_ATA,27,31,-0.09181286549707623
28,coex_FIB,19,18,0.33163426584479194
29,coex_BRC,29,17,0.3670938594873685
30,coex_ATT,27,30,0.07435897435897454
31,coex_TNV,20,27,0.4733333333333336
32,coex_SPL,35,30,0.16648351648351656
33,coex_LCL,10,15,-0.03191856452726016
34,coex_CLS,34,30,0.302530044275775
35,coex_EMC,24,25,-0.05870748299319706
36,coex_CLT,31,34,0.12330953886931106
37,coex_core,35,33,-0.045946278197799506
38,coex_WBL,32,26,0.48539772727272723
39,co-essential,4,6,0.75
40,GOBP,22,13,0.5871735791090629
41,ppi,50,50,0.19999999999999996
42,reactome_copathway,26,22,0.7513377926421403
43,MP,17,10,1.1752723311546842
44,HP,25,24,0.27645390070921994
45,GI_net,15,23,0.053171466214944285
46,gene_gene_on_CbG_name_mapped,14,15,0.10894909688013144
47,gene_gene_on_GcG_name_mapped,30,23,-0.07528028438610868
48,GOMF,8,1,
