,Layer,Wilson_disease nodes,Vitiligo nodes,sAB
0,coex_KDN,45,41,0.32882082309195204
1,coex_BST,25,25,0.20409863945578266
2,coex_OVR,32,30,0.323809523809524
3,coex_LNG,40,36,0.6640587956377431
4,coex_ITI,41,37,0.5250494396835861
5,coex_VGN,34,34,0.35490994226727324
6,coex_HRV,20,18,0.5697368421052633
7,coex_MSG,39,34,0.0707917518957002
8,coex_ADV,32,26,0.3858587533156501
9,coex_EMS,30,25,0.20696969696969703
10,coex_SMU,31,24,0.2414100684261975
11,coex_ARG,29,25,0.16515964240102177
12,coex_TST,37,31,0.0990563618647109
13,coex_PIT,37,27,0.17672511220898324
14,coex_LVR,39,26,0.30067155067155094
15,coex_THY,29,29,0.2735221674876849
16,coex_PNC,34,30,0.11802656546489576
17,coex_ATC,29,32,0.32424916573971085
18,coex_BRO,38,30,0.4940903590157322
19,coex_SKN,31,30,0.3107438744932134
20,coex_ADS,26,27,0.5769230769230771
21,coex_GEJ,32,23,0.33668680548063445
22,coex_BRB,29,26,0.05280016015214439
23,coex_UTR,25,23,0.14289855072463764
24,coex_STM,38,33,0.6157166631995008
25,coex_HRA,32,22,0.3559027777777777
26,coex_PRS,36,21,0.24686147186147167
27,coex_ATA,32,31,0.5723566308243728
28,coex_FIB,33,21,0.38936988936988937
29,coex_BRC,32,30,0.36777553763440896
30,coex_ATT,31,29,0.41931776047460145
31,coex_TNV,21,17,-0.06180445151033398
32,coex_SPL,32,29,0.5352158705483323
33,coex_LCL,19,23,0.22222222222222232
34,coex_CLS,37,30,0.1696450181524809
35,coex_EMC,34,31,0.48965844402277026
36,coex_CLT,37,30,0.19423154497781359
37,coex_core,39,36,0.7605813136635053
38,coex_WBL,28,33,0.39710630899155497
39,co-essential,9,6,0.3111111111111109
40,GOBP,22,16,2.709722222222222
41,ppi,49,49,0.18367346938775508
42,reactome_copathway,20,23,1.0270092226613965
43,MP,16,19,1.9300595238095242
44,HP,18,23,0.3548073524213504
45,GI_net,21,16,-0.19595588235294104
46,gene_gene_on_CbG_name_mapped,18,6,-0.12499999999999978
47,gene_gene_on_GcG_name_mapped,27,29,-0.017720306513409945
48,GOMF,8,10,
