,Layer,Absence_seizure nodes,Atonic_seizure nodes,sAB
0,coex_KDN,30,38,-0.22934651068979428
1,coex_BST,20,27,-0.012777777777777777
2,coex_OVR,19,22,-0.4963659147869679
3,coex_LNG,17,24,0.16107723577235733
4,coex_ITI,26,36,-0.25062034739454075
5,coex_VGN,20,30,-0.2483333333333333
6,coex_HRV,13,20,0.25
7,coex_MSG,22,33,-0.11969696969696964
8,coex_ADV,17,26,0.18806722689075617
9,coex_EMS,19,21,-0.17750626566416017
10,coex_SMU,15,25,-0.4685736079328755
11,coex_ARG,25,28,0.07340970350404308
12,coex_TST,30,35,-0.2564102564102564
13,coex_PIT,28,38,-0.2275764775764777
14,coex_LVR,22,28,-0.1198051948051948
15,coex_THY,16,24,0.08166109253065779
16,coex_PNC,19,25,0.19081339712918677
17,coex_ATC,17,29,0.37653232207425713
18,coex_BRO,43,38,-0.2696858425132598
19,coex_SKN,19,26,-0.1953601953601951
20,coex_ADS,16,27,0.3741813459801264
21,coex_GEJ,22,29,-0.15981934731934766
22,coex_BRB,35,31,-0.29447004608294947
23,coex_UTR,16,14,-0.17011494252873538
24,coex_STM,28,31,-0.0686167304537999
25,coex_HRA,20,29,-0.026686656671664144
26,coex_PRS,20,24,-0.3477272727272731
27,coex_ATA,18,25,-0.1686507936507935
28,coex_FIB,13,20,-0.22068764568764543
29,coex_BRC,31,36,-0.026607553629700798
30,coex_ATT,19,23,0.07621897553247647
31,coex_TNV,16,22,0.35953282828282784
32,coex_SPL,22,24,-0.011363636363636687
33,coex_LCL,12,21,-0.10389610389610371
34,coex_CLS,21,30,0.35499999999999976
35,coex_EMC,18,21,-0.2625730994152047
36,coex_CLT,21,34,-0.15763673890608865
37,coex_core,23,34,0.3731518079344167
38,coex_WBL,17,28,-0.07684407096171775
39,co-essential,3,9,1.3068181818181817
40,GOBP,30,17,-0.3234195402298847
41,ppi,50,50,0.010000000000000009
42,reactome_copathway,12,18,1.241111111111111
43,MP,19,12,0.23940533151059462
44,HP,16,25,-0.018384146341463348
45,GI_net,12,18,-0.10912698412698374
46,gene_gene_on_CbG_name_mapped,27,22,-0.030371744657458954
47,gene_gene_on_GcG_name_mapped,33,35,-0.14071810542398788
48,GOMF,5,7,
