,Layer,Cervical_cancer nodes,Diabetes_mellitus_type_1 nodes,sAB
0,coex_KDN,41,39,0.3636178861788619
1,coex_BST,34,16,0.10786764705882357
2,coex_OVR,38,21,0.446635656938958
3,coex_LNG,39,24,0.2632790304599566
4,coex_ITI,35,31,0.18944281524926665
5,coex_VGN,37,28,0.8149172174595902
6,coex_HRV,24,17,0.3048481587757057
7,coex_MSG,41,26,0.3145109350060207
8,coex_ADV,26,22,0.3094405594405596
9,coex_EMS,35,21,0.7416666666666667
10,coex_SMU,32,18,-0.046087184873949916
11,coex_ARG,31,17,0.1580487033523088
12,coex_TST,38,22,0.08724082934609267
13,coex_PIT,39,26,0.3884615384615384
14,coex_LVR,36,33,0.36901624945103184
15,coex_THY,35,25,0.5173993808049535
16,coex_PNC,32,26,0.42767738726790405
17,coex_ATC,37,24,0.5430555555555556
18,coex_BRO,32,24,0.37872023809523814
19,coex_SKN,41,21,0.5218070407305058
20,coex_ADS,28,23,0.7164626720253322
21,coex_GEJ,34,20,0.5678534571723426
22,coex_BRB,20,20,0.02499999999999991
23,coex_UTR,27,10,0.5263763763763762
24,coex_STM,39,29,0.16015238986841407
25,coex_HRA,37,19,0.48203497615262325
26,coex_PRS,38,21,0.24850272232304915
27,coex_ATA,34,28,0.5713423831070887
28,coex_FIB,39,8,0.11486285032796673
29,coex_BRC,36,18,0.4123931623931625
30,coex_ATT,36,26,0.6078362573099416
31,coex_TNV,22,21,0.3257575757575757
32,coex_SPL,36,31,0.31949448401061287
33,coex_LCL,33,11,0.28617886178861784
34,coex_CLS,36,28,0.13550611501431176
35,coex_EMC,31,19,0.5919185059422749
36,coex_CLT,33,24,0.1715909090909089
37,coex_core,38,34,0.37267819899398846
38,coex_WBL,35,29,0.3906096059113302
39,co-essential,16,8,0.35194805194805223
40,GOBP,11,17,-0.03668478260869579
41,ppi,50,49,0.20156050298907435
42,reactome_copathway,27,23,0.19087967644084936
43,MP,7,12,1.296536796536797
44,HP,20,30,0.3600000000000001
45,GI_net,28,18,0.4691558441558443
46,gene_gene_on_CbG_name_mapped,15,16,-0.04012096774193541
47,gene_gene_on_GcG_name_mapped,31,28,-0.055416699211122245
48,GOMF,6,9,
