,Layer,Chorea nodes,Hereditary_antithrombin_deficiency nodes,sAB
0,coex_KDN,42,34,0.1507445083296477
1,coex_BST,40,26,0.18501221001221002
2,coex_OVR,37,24,0.062241544823512074
3,coex_LNG,40,30,0.136309523809524
4,coex_ITI,45,32,0.43930826118326105
5,coex_VGN,41,26,0.28279801741760213
6,coex_HRV,19,17,0.2530959752321982
7,coex_MSG,44,33,-0.1152597402597404
8,coex_ADV,33,26,0.1079076290940697
9,coex_EMS,40,24,0.5114583333333331
10,coex_SMU,37,23,-0.21713670191931067
11,coex_ARG,38,23,0.18955621412762125
12,coex_TST,47,30,0.08995118356820475
13,coex_PIT,45,34,0.03554027671674742
14,coex_LVR,33,35,0.22170868347338923
15,coex_THY,37,23,-0.018361581920904424
16,coex_PNC,36,26,0.2100220567962503
17,coex_ATC,38,27,0.05674763832658569
18,coex_BRO,42,27,0.14240306404485548
19,coex_SKN,41,28,0.06307756400545372
20,coex_ADS,33,23,1.2823263692828908
21,coex_GEJ,44,30,0.7283016734509273
22,coex_BRB,26,18,-0.23168498168498175
23,coex_UTR,31,19,0.1277079796264855
24,coex_STM,43,29,0.19104740265526177
25,coex_HRA,40,23,0.15799120234604125
26,coex_PRS,39,28,0.27956371986222717
27,coex_ATA,36,27,0.6025132275132279
28,coex_FIB,27,21,0.06283068783068768
29,coex_BRC,44,24,0.3426916221033869
30,coex_ATT,39,32,0.7128496503496504
31,coex_TNV,21,18,0.408963585434174
32,coex_SPL,35,33,0.26441303794244986
33,coex_LCL,26,19,0.10172248803827766
34,coex_CLS,39,33,0.4601702645180903
35,coex_EMC,39,27,0.2541844729344729
36,coex_CLT,42,30,0.340873015873016
37,coex_core,43,29,0.27811191303573035
38,coex_WBL,35,29,0.52898458604799
39,co-essential,13,16,0.9152022546419101
40,GOBP,23,31,1.4462839974699557
41,ppi,50,49,0.31327767470624623
42,reactome_copathway,16,22,2.12012987012987
43,MP,17,17,0.041061827956989205
44,HP,26,30,0.4360805860805861
45,GI_net,21,18,0.278083028083028
46,gene_gene_on_CbG_name_mapped,8,14,0.8538961038961039
47,gene_gene_on_GcG_name_mapped,38,35,0.07602739726027408
48,GOMF,3,8,
