,Layer,Rheumatoid_arthritis nodes,Familial_multiple_polyposis_syndrome nodes,sAB
0,coex_KDN,43,41,0.19298823199775872
1,coex_BST,22,28,0.16681818181818153
2,coex_OVR,30,32,0.30833333333333335
3,coex_LNG,41,38,0.4215418353576248
4,coex_ITI,40,39,0.46153846153846145
5,coex_VGN,40,33,0.3736596736596738
6,coex_HRV,29,28,0.33120516809264533
7,coex_MSG,36,42,0.19719169719169716
8,coex_ADV,27,28,0.5070629929120494
9,coex_EMS,28,25,0.012776280323449907
10,coex_SMU,31,30,0.23429014033169304
11,coex_ARG,27,29,0.46118881118881117
12,coex_TST,34,35,0.21834124954329548
13,coex_PIT,34,38,-0.019982258473306924
14,coex_LVR,32,37,0.08637509792401099
15,coex_THY,36,32,0.7670547385620918
16,coex_PNC,34,33,0.28139383297416654
17,coex_ATC,39,34,0.3020853826480425
18,coex_BRO,35,32,0.11376599147121524
19,coex_SKN,30,34,0.196207218519592
20,coex_ADS,35,27,0.18554360812425363
21,coex_GEJ,29,28,0.2867856281649388
22,coex_BRB,28,27,0.175252525252525
23,coex_UTR,18,22,0.27563277563277566
24,coex_STM,35,41,0.24180267742527062
25,coex_HRA,29,33,0.5167795566502464
26,coex_PRS,28,30,0.08415435139573058
27,coex_ATA,39,29,0.19072138139075268
28,coex_FIB,18,30,0.2929118773946362
29,coex_BRC,26,33,0.12951757294429678
30,coex_ATT,37,31,0.4901532397292714
31,coex_TNV,23,23,0.5795564339042603
32,coex_SPL,40,28,0.34138655462184886
33,coex_LCL,23,20,0.25681818181818183
34,coex_CLS,32,32,0.3963015600211528
35,coex_EMC,34,34,0.5128959276018099
36,coex_CLT,35,36,0.7332215515314109
37,coex_core,43,40,0.3391616422624175
38,coex_WBL,44,35,0.21465148775275344
39,co-essential,10,15,2.716666666666667
40,GOBP,7,14,1.5909090909090908
41,ppi,50,50,0.1499999999999999
42,reactome_copathway,26,28,1.0571476453829396
43,MP,12,16,1.8278846153846149
44,HP,24,22,0.7990777338603423
45,GI_net,19,25,0.18464114832535894
46,gene_gene_on_CbG_name_mapped,9,12,0.09523809523809534
47,gene_gene_on_GcG_name_mapped,34,39,-0.10164982747577445
48,GOMF,8,4,
