,Layer,Pulmonary_fibrosis nodes,Glaucoma nodes,sAB
0,coex_KDN,42,39,0.06294939628272966
1,coex_BST,23,21,0.16563146997929623
2,coex_OVR,30,35,0.05969827586206922
3,coex_LNG,36,33,0.6577540106951871
4,coex_ITI,35,37,0.06489703989703988
5,coex_VGN,29,40,0.07857321339330325
6,coex_HRV,32,26,0.13602453580901885
7,coex_MSG,39,41,0.3156035021888681
8,coex_ADV,31,19,0.242546689303905
9,coex_EMS,28,29,0.6153940886699507
10,coex_SMU,25,29,0.34120852309694216
11,coex_ARG,21,29,0.2722167487684728
12,coex_TST,34,41,-0.07132298595713227
13,coex_PIT,33,38,0.18211936090225556
14,coex_LVR,35,37,0.13590733590733572
15,coex_THY,28,32,0.7654761904761904
16,coex_PNC,29,34,0.10481663929939788
17,coex_ATC,30,32,0.035267857142857295
18,coex_BRO,29,33,0.38386085549600546
19,coex_SKN,28,36,0.23743386243386233
20,coex_ADS,29,26,0.5182132682132683
21,coex_GEJ,34,27,0.20947414167753164
22,coex_BRB,23,27,0.06914653784219027
23,coex_UTR,17,28,0.42102396514161233
24,coex_STM,34,39,0.16203330647327396
25,coex_HRA,31,26,0.46150462440785045
26,coex_PRS,30,28,0.10595238095238102
27,coex_ATA,28,30,0.2590643274853801
28,coex_FIB,26,27,0.019230769230769162
29,coex_BRC,27,35,0.22555043522785434
30,coex_ATT,26,32,0.2065080081209114
31,coex_TNV,26,28,0.408119658119658
32,coex_SPL,23,27,0.29579307568438007
33,coex_LCL,17,13,0.19728116710875332
34,coex_CLS,29,30,0.37030976037405017
35,coex_EMC,33,32,-0.0625
36,coex_CLT,34,37,0.2335673335673334
37,coex_core,37,37,0.10794355999835448
38,coex_WBL,27,27,0.22222222222222232
39,co-essential,14,6,-0.43333333333333357
40,GOBP,9,9,0.8571428571428577
41,ppi,50,49,0.13156462585034023
42,reactome_copathway,27,23,0.7111278195488722
43,MP,13,11,-0.0896103896103897
44,HP,20,20,0.5249999999999999
45,GI_net,21,21,0.005012531328320691
46,gene_gene_on_CbG_name_mapped,14,9,-0.13647342995169076
47,gene_gene_on_GcG_name_mapped,31,38,-0.11880244088482073
48,GOMF,3,2,
