,Layer,Inflammatory_bowel_disease nodes,Extrapyramidal_disease nodes,sAB
0,coex_KDN,40,37,0.08814786446365397
1,coex_BST,22,30,0.30289168959119683
2,coex_OVR,30,29,0.19485135251922925
3,coex_LNG,39,29,0.5052140219483015
4,coex_ITI,41,38,0.5007474691668972
5,coex_VGN,27,36,0.18518518518518534
6,coex_HRV,28,17,0.7953781512605043
7,coex_MSG,39,37,0.2769449611554875
8,coex_ADV,32,31,0.9466963780418789
9,coex_EMS,25,23,0.12631752305665334
10,coex_SMU,26,21,-0.005007403943574351
11,coex_ARG,25,30,0.3529559748427671
12,coex_TST,31,32,-0.07679691500256025
13,coex_PIT,32,33,0.18997434017595305
14,coex_LVR,36,29,0.45096522251694693
15,coex_THY,31,22,0.703280432407567
16,coex_PNC,28,32,0.2935640084355229
17,coex_ATC,36,30,0.48005050505050484
18,coex_BRO,32,38,0.6080592105263156
19,coex_SKN,27,33,0.05185185185185226
20,coex_ADS,32,30,0.8220430107526884
21,coex_GEJ,31,26,0.5332417582417581
22,coex_BRB,26,28,0.6205229955229954
23,coex_UTR,19,24,0.5967838354854136
24,coex_STM,35,33,0.2541125541125542
25,coex_HRA,31,27,0.7101010101010099
26,coex_PRS,31,29,0.3593999610364311
27,coex_ATA,33,30,0.6339992561500449
28,coex_FIB,17,21,0.17986141825151125
29,coex_BRC,29,28,0.06765837006308839
30,coex_ATT,26,28,0.45650183150183166
31,coex_TNV,26,21,1.06993006993007
32,coex_SPL,29,28,0.1964285714285714
33,coex_LCL,27,18,0.3465916197623513
34,coex_CLS,32,31,0.6284946236559139
35,coex_EMC,33,32,0.4375
36,coex_CLT,33,33,0.41450320512820493
37,coex_core,41,38,0.459709028669234
38,coex_WBL,39,27,0.10463610463610462
39,co-essential,7,10,1.4469696969696964
40,GOBP,18,16,1.446153846153846
41,ppi,49,49,0.13265306122449005
42,reactome_copathway,19,15,0.4090725806451614
43,MP,15,19,1.5092592592592595
44,HP,23,22,1.152876592007027
45,GI_net,25,16,0.29583333333333317
46,gene_gene_on_CbG_name_mapped,8,14,0.4683441558441559
47,gene_gene_on_GcG_name_mapped,33,38,0.1307084933845497
48,GOMF,8,5,
