,Layer,Ewing_sarcoma nodes,Primary_dilated_cardiomyopathy nodes,sAB
0,coex_KDN,43,31,0.10854142106955322
1,coex_BST,35,21,0.2220358588779643
2,coex_OVR,37,24,0.1946629006055236
3,coex_LNG,34,25,0.1598703888334998
4,coex_ITI,41,27,0.2453504437005154
5,coex_VGN,38,28,0.15455304928989166
6,coex_HRV,21,40,0.7689366424535917
7,coex_MSG,38,44,0.4272231298868012
8,coex_ADV,29,20,0.15847994370161844
9,coex_EMS,32,34,0.5146885405105439
10,coex_SMU,37,36,0.4722222222222223
11,coex_ARG,34,21,0.25397603485838793
12,coex_TST,43,30,-0.11674100031857293
13,coex_PIT,38,26,0.12874475989230083
14,coex_LVR,38,18,0.04678362573099415
15,coex_THY,43,31,0.899610678531702
16,coex_PNC,38,16,0.3341112214498514
17,coex_ATC,39,38,0.8373954116059381
18,coex_BRO,37,27,0.22089947089947115
19,coex_SKN,37,24,0.23388347363757234
20,coex_ADS,31,21,0.9804312047399604
21,coex_GEJ,31,24,0.4423076923076925
22,coex_BRB,24,21,0.20186335403726696
23,coex_UTR,30,22,0.30629370629370634
24,coex_STM,40,29,0.24294102948525742
25,coex_HRA,35,43,0.6679018655762841
26,coex_PRS,35,43,0.34577050856120617
27,coex_ATA,34,19,0.041102296181630305
28,coex_FIB,33,17,0.10988344806007522
29,coex_BRC,38,30,0.21553884711779459
30,coex_ATT,37,29,0.3246305418719211
31,coex_TNV,16,26,0.28125
32,coex_SPL,36,23,0.27094080078604765
33,coex_LCL,30,24,0.3000541125541125
34,coex_CLS,37,28,0.2595464316775793
35,coex_EMC,35,19,0.24025448235974545
36,coex_CLT,34,24,0.18979266347687407
37,coex_core,42,41,0.8893292682926828
38,coex_WBL,37,34,0.9145468998410173
39,co-essential,12,11,0.5636363636363639
40,GOBP,10,23,0.0028510915607693477
41,ppi,50,49,0.2637188208616781
42,reactome_copathway,20,17,0.5399159663865545
43,MP,10,25,1.4366666666666674
44,HP,23,38,0.5977885733578423
45,GI_net,31,17,-0.02598795478920879
46,gene_gene_on_CbG_name_mapped,8,11,-0.007476076555023692
47,gene_gene_on_GcG_name_mapped,28,27,-0.01878306878306879
48,GOMF,5,2,
