,Layer,Prostatitis nodes,Sepsis nodes,sAB
0,coex_KDN,35,39,-0.15985958485958474
1,coex_BST,19,19,-0.04923344397028595
2,coex_OVR,15,27,-0.252226093689508
3,coex_LNG,30,33,0.09543650793650782
4,coex_ITI,28,34,-0.18683473389355743
5,coex_VGN,18,19,0.21474028207774332
6,coex_HRV,21,33,0.11022311022311038
7,coex_MSG,30,39,-0.09637681159420275
8,coex_ADV,24,34,-0.16421568627450966
9,coex_EMS,16,24,-0.26666666666666705
10,coex_SMU,16,25,-0.05833333333333357
11,coex_ARG,21,20,-0.15075493612079027
12,coex_TST,23,26,-0.1252132960207495
13,coex_PIT,25,32,-0.018464912280701684
14,coex_LVR,30,36,-0.2597222222222222
15,coex_THY,26,21,0.4161371237458189
16,coex_PNC,22,29,-0.4957482993197282
17,coex_ATC,17,28,-0.03430495632958008
18,coex_BRO,28,32,-0.07704741379310343
19,coex_SKN,18,23,-0.04166666666666696
20,coex_ADS,18,23,-0.3074997054318369
21,coex_GEJ,18,30,-0.3376303712974553
22,coex_BRB,17,33,-0.13320707070707094
23,coex_UTR,14,20,0.5107142857142857
24,coex_STM,25,34,0.12712074303405574
25,coex_HRA,23,31,0.14347826086956506
26,coex_PRS,24,26,-0.18083333333333362
27,coex_ATA,19,31,-0.04318760611205441
28,coex_FIB,23,23,-0.28260869565217384
29,coex_BRC,23,25,-0.0875724637681159
30,coex_ATT,14,22,0.20089285714285676
31,coex_TNV,12,23,-0.13203463203463217
32,coex_SPL,26,32,-0.07213443036872613
33,coex_LCL,17,19,0.20074696545284798
34,coex_CLS,21,28,0.20340094422101762
35,coex_EMC,18,28,-0.025816993464052196
36,coex_CLT,24,31,0.0370370370370372
37,coex_core,32,38,0.07479326834165545
38,coex_WBL,26,34,0.05180995475113126
39,co-essential,7,11,0.20632798573975064
40,GOBP,18,8,1.2678571428571428
41,ppi,50,49,-0.10942486085343228
42,reactome_copathway,16,26,0.04852564102564094
43,MP,16,8,-0.46060606060606046
44,HP,19,14,-0.23860788334472538
45,GI_net,18,22,-0.3251400560224087
46,gene_gene_on_CbG_name_mapped,14,17,-0.06817565735971809
47,gene_gene_on_GcG_name_mapped,31,32,-0.22394233230926774
48,GOMF,5,3,
