,Layer,Neoplasm_of_lung nodes,Vitamin_K_deficiency nodes,sAB
0,coex_KDN,45,40,0.1688725490196077
1,coex_BST,35,31,0.35604395604395567
2,coex_OVR,42,25,0.35892679459843624
3,coex_LNG,40,37,0.1452527202527203
4,coex_ITI,43,33,-0.006991580430992794
5,coex_VGN,35,31,-0.0669172383593637
6,coex_HRV,20,16,0.22013888888888866
7,coex_MSG,41,36,0.16403582866997501
8,coex_ADV,33,27,0.35791245791245796
9,coex_EMS,36,25,0.15761904761904777
10,coex_SMU,33,29,0.22105369602588731
11,coex_ARG,39,28,0.10659490782441594
12,coex_TST,43,36,0.21424541261897745
13,coex_PIT,36,31,-0.09621212121212097
14,coex_LVR,38,43,0.49147740151412145
15,coex_THY,32,29,0.9047749434708878
16,coex_PNC,35,31,0.19832425638877238
17,coex_ATC,41,32,-0.0064947612504293595
18,coex_BRO,33,31,0.21862781036168144
19,coex_SKN,36,35,0.15397943214844623
20,coex_ADS,30,30,0.4968829144749658
21,coex_GEJ,38,28,0.3990836466165413
22,coex_BRB,19,20,0.38387314439945985
23,coex_UTR,36,22,0.12695924764890298
24,coex_STM,40,36,-0.07309941520467822
25,coex_HRA,37,28,0.20695695695695693
26,coex_PRS,36,33,0.12741545893719786
27,coex_ATA,32,26,0.32202559749249104
28,coex_FIB,37,30,0.12297979797979797
29,coex_BRC,36,30,0.1070707070707071
30,coex_ATT,35,27,0.01651583710407234
31,coex_TNV,21,22,0.29404761904761934
32,coex_SPL,39,37,0.3989853010905642
33,coex_LCL,29,20,0.05002268602540827
34,coex_CLS,38,36,0.17180338232969805
35,coex_EMC,38,34,0.0740822644847412
36,coex_CLT,42,38,0.06337719298245603
37,coex_core,38,35,0.17579565351735482
38,coex_WBL,36,31,0.04981811373241296
39,co-essential,25,7,1.8076785714285712
40,GOBP,13,31,1.0123784261715292
41,ppi,49,48,0.4318851251840943
42,reactome_copathway,28,18,0.7328431372549018
43,MP,12,12,1.2112554112554115
44,HP,28,27,0.580074555074555
45,GI_net,31,17,0.4474878310370429
46,gene_gene_on_CbG_name_mapped,19,16,0.3787593984962405
47,gene_gene_on_GcG_name_mapped,37,30,-0.031538254672582866
48,GOMF,4,10,
