,Layer,Type_2_diabetes_mellitus nodes,Facial_paralysis nodes,sAB
0,coex_KDN,36,45,0.06994949494949476
1,coex_BST,18,35,0.1876114081996434
2,coex_OVR,22,37,0.08818140174072386
3,coex_LNG,30,43,0.06609195402298873
4,coex_ITI,33,41,0.11019462078182429
5,coex_VGN,27,42,0.3564814814814814
6,coex_HRV,18,26,0.25549056395541303
7,coex_MSG,32,44,-0.005906100478469067
8,coex_ADV,22,36,0.40241702741702756
9,coex_EMS,23,41,0.01535848446177912
10,coex_SMU,26,38,0.2508354218880533
11,coex_ARG,22,39,0.1936260460850625
12,coex_TST,30,42,0.0031746031746031633
13,coex_PIT,31,41,0.059172567532127074
14,coex_LVR,36,36,0.2777777777777777
15,coex_THY,25,40,0.48535809018567644
16,coex_PNC,34,39,0.4174792343806428
17,coex_ATC,25,44,-0.06400527009222667
18,coex_BRO,28,39,0.3290598290598292
19,coex_SKN,30,41,0.20856626923267196
20,coex_ADS,25,31,0.40161290322580623
21,coex_GEJ,22,39,0.2728937728937728
22,coex_BRB,15,30,0.29638752052545136
23,coex_UTR,16,32,0.3229166666666665
24,coex_STM,31,39,0.3763440860215055
25,coex_HRA,31,40,0.4616316841579211
26,coex_PRS,27,41,0.13799249530956814
27,coex_ATA,26,38,0.1452464494569754
28,coex_FIB,20,34,-0.09613289760348587
29,coex_BRC,29,42,-0.007458071538119171
30,coex_ATT,25,42,0.491612554112554
31,coex_TNV,19,24,0.8501461988304091
32,coex_SPL,32,37,0.2184623482177832
33,coex_LCL,14,22,0.21645021645021645
34,coex_CLS,33,41,0.1299889135254988
35,coex_EMC,25,37,0.22513513513513495
36,coex_CLT,30,39,0.07954292084726866
37,coex_core,34,45,0.33858585858585855
38,coex_WBL,23,32,0.27935317877496857
39,co-essential,14,6,2.0508403361344536
40,GOBP,12,25,0.9619318181818182
41,ppi,50,50,0.26000000000000023
42,reactome_copathway,23,14,0.2797906602254425
43,MP,15,16,0.6224867724867722
44,HP,26,34,0.7540958027773446
45,GI_net,21,20,0.025377468060395092
46,gene_gene_on_CbG_name_mapped,14,5,0.26879699248120303
47,gene_gene_on_GcG_name_mapped,38,39,0.10073698231592965
48,GOMF,2,6,
