,Layer,Temporal_lobe_epilepsy nodes,West_syndrome nodes,sAB
0,coex_KDN,39,46,0.09345202964128774
1,coex_BST,24,37,0.36111111111111116
2,coex_OVR,28,38,0.10005126452494828
3,coex_LNG,26,38,0.43503289473684204
4,coex_ITI,35,40,0.13378180039138954
5,coex_VGN,27,40,0.23117053620784955
6,coex_HRV,23,23,0.25812472551602994
7,coex_MSG,34,42,0.08123249299719904
8,coex_ADV,19,35,-0.005458089668616495
9,coex_EMS,24,40,0.3711843711843712
10,coex_SMU,22,39,0.21792961137223443
11,coex_ARG,27,40,0.20985576923076943
12,coex_TST,33,44,0.22997835497835495
13,coex_PIT,32,43,0.07655523255813956
14,coex_LVR,28,38,0.10483595352016395
15,coex_THY,26,37,0.5743243243243246
16,coex_PNC,30,37,0.5674936130160013
17,coex_ATC,32,39,0.11312012263099236
18,coex_BRO,39,42,0.4238586616635396
19,coex_SKN,28,41,0.2560130532008944
20,coex_ADS,29,21,0.014232934553131571
21,coex_GEJ,26,36,0.3246758031240793
22,coex_BRB,29,20,0.19137931034482758
23,coex_UTR,19,34,-0.3645047762694822
24,coex_STM,34,39,0.02589929543998859
25,coex_HRA,24,38,0.4604555744199206
26,coex_PRS,23,36,0.29916891836567583
27,coex_ATA,31,38,0.6797815014394328
28,coex_FIB,17,35,0.45662572721396244
29,coex_BRC,31,42,0.22057740462512898
30,coex_ATT,30,38,1.2097523219814241
31,coex_TNV,27,16,0.27048341946597754
32,coex_SPL,26,43,-0.2125171761167719
33,coex_LCL,15,27,0.41577291577291575
34,coex_CLS,29,38,0.38757212124495477
35,coex_EMC,27,35,0.30921658986175116
36,coex_CLT,31,38,0.15278905538741672
37,coex_core,37,39,0.27338877338877365
38,coex_WBL,24,36,0.12452107279693503
39,co-essential,6,11,-0.3083778966131905
40,GOBP,18,22,1.454211229946524
41,ppi,50,49,0.18174809317666463
42,reactome_copathway,18,18,0.38933823529411793
43,MP,12,5,0.4833333333333334
44,HP,12,34,0.01534526854219953
45,GI_net,16,20,-0.16286764705882328
46,gene_gene_on_CbG_name_mapped,26,12,0.04234143049932526
47,gene_gene_on_GcG_name_mapped,29,33,-0.21678969899214606
48,GOMF,5,4,
