,Layer,Kidney_failure nodes,Renovascular_hypertension nodes,sAB
0,coex_KDN,39,43,-0.18212691071454556
1,coex_BST,21,24,0.3039682539682542
2,coex_OVR,29,26,0.015034965034965264
3,coex_LNG,33,31,0.15461571358748794
4,coex_ITI,33,39,-0.048303372352285434
5,coex_VGN,33,33,-0.1515151515151516
6,coex_HRV,22,21,-0.15206947524020697
7,coex_MSG,39,39,0.05128205128205132
8,coex_ADV,24,21,0.10555555555555562
9,coex_EMS,22,23,-0.1583662714097498
10,coex_SMU,26,27,-0.433639735526528
11,coex_ARG,25,21,0.031387163561076736
12,coex_TST,33,32,-0.29175407925407937
13,coex_PIT,26,33,-0.1460432223144088
14,coex_LVR,31,27,0.2902077014980242
15,coex_THY,24,24,0.020833333333333037
16,coex_PNC,27,25,-0.07244008714596895
17,coex_ATC,31,28,0.22844255252675172
18,coex_BRO,27,24,-0.029053287981859466
19,coex_SKN,29,30,-0.08123904149620098
20,coex_ADS,27,26,-0.261647394000335
21,coex_GEJ,22,18,0.09073769367887019
22,coex_BRB,29,25,-0.25103641456582615
23,coex_UTR,20,20,0.0017206477732791825
24,coex_STM,27,30,0.07095516569200777
25,coex_HRA,26,25,0.2416666666666667
26,coex_PRS,18,30,0.10700483091787483
27,coex_ATA,31,20,0.1566666666666663
28,coex_FIB,18,20,0.4576858813700919
29,coex_BRC,17,26,-0.1034410186256971
30,coex_ATT,30,26,-0.0011904761904761862
31,coex_TNV,27,21,-0.04343685300207056
32,coex_SPL,30,29,0.21896551724137936
33,coex_LCL,15,14,0.2731148162182646
34,coex_CLS,30,26,0.06968864468864444
35,coex_EMC,25,31,-0.06150537634408626
36,coex_CLT,34,37,-0.1495242045114169
37,coex_core,33,38,0.00421152312599693
38,coex_WBL,26,21,0.5448033126293994
39,co-essential,6,7,1.166666666666667
40,GOBP,13,10,0.6875
41,ppi,50,50,0.030000000000000027
42,reactome_copathway,22,16,-0.05277777777777759
43,MP,10,12,-0.34166666666666634
44,HP,24,24,-0.10416666666666674
45,GI_net,23,14,0.09105025409373235
46,gene_gene_on_CbG_name_mapped,15,16,-0.23037634408602137
47,gene_gene_on_GcG_name_mapped,23,38,-0.18277563116629802
48,GOMF,1,5,
