,Layer,Myositis_disease nodes,Cellulitis nodes,sAB
0,coex_KDN,42,45,-0.15314723590585677
1,coex_BST,23,22,-0.49003074220465526
2,coex_OVR,31,38,-0.20829273296066453
3,coex_LNG,38,42,-0.08834586466165462
4,coex_ITI,42,44,-0.18971240380853005
5,coex_VGN,30,41,0.11705338148716149
6,coex_HRV,22,34,-0.2416921313980136
7,coex_MSG,38,45,-0.09182343408722615
8,coex_ADV,30,30,0.042528735632183956
9,coex_EMS,29,30,-0.0833625560101301
10,coex_SMU,30,31,-0.13214348669134512
11,coex_ARG,29,27,-0.37372286079182615
12,coex_TST,35,35,-0.09999999999999987
13,coex_PIT,31,36,-0.05338228213769858
14,coex_LVR,36,36,-0.0417728593784934
15,coex_THY,34,41,-0.11023912003825909
16,coex_PNC,29,34,-0.3214624559501218
17,coex_ATC,36,42,-0.030982905982905873
18,coex_BRO,30,39,-0.23309409888357258
19,coex_SKN,31,33,0.020191837732160156
20,coex_ADS,31,39,-0.13991081382385717
21,coex_GEJ,34,35,-0.34488652991725877
22,coex_BRB,22,31,-0.1897997012117525
23,coex_UTR,29,27,-0.15659340659340693
24,coex_STM,38,43,-0.06876964173475808
25,coex_HRA,26,27,0.058753964414342
26,coex_PRS,25,37,-0.01297297297297284
27,coex_ATA,31,38,-0.2072045471322066
28,coex_FIB,22,20,-0.3923160173160172
29,coex_BRC,25,25,0.1599999999999997
30,coex_ATT,31,36,-0.18218049537259917
31,coex_TNV,19,30,-0.33703902613677084
32,coex_SPL,40,38,-0.10445344129554668
33,coex_LCL,28,24,-0.03044871794871784
34,coex_CLS,36,39,-0.13521367521367522
35,coex_EMC,35,40,-0.016904761904761978
36,coex_CLT,40,44,-0.06735033259423506
37,coex_core,40,46,-0.028674948240165588
38,coex_WBL,38,37,-0.1612731152204836
39,co-essential,7,8,-0.10892857142857171
40,GOBP,20,12,1.2484210526315787
41,ppi,49,50,0.060663780663780864
42,reactome_copathway,24,21,-0.1330128205128207
43,MP,12,11,-0.4083333333333332
44,HP,28,33,-0.052639982967851884
45,GI_net,17,21,-0.03267973856209139
46,gene_gene_on_CbG_name_mapped,9,8,0.23611111111111116
47,gene_gene_on_GcG_name_mapped,26,30,-0.20879120879120894
48,GOMF,7,2,
