,Layer,Migraine nodes,Alzheimer_disease nodes,sAB
0,coex_KDN,39,42,0.25176366843033526
1,coex_BST,26,23,0.031470148722692715
2,coex_OVR,29,30,0.15315604909409686
3,coex_LNG,28,35,0.47241850145075936
4,coex_ITI,33,39,0.09887334887334909
5,coex_VGN,34,34,0.17647058823529416
6,coex_HRV,22,21,0.030579885231047932
7,coex_MSG,35,39,0.12813582813582824
8,coex_ADV,30,33,0.27821067821067835
9,coex_EMS,25,31,0.44153846153846166
10,coex_SMU,27,33,0.052171610169491345
11,coex_ARG,26,34,0.10149732620320862
12,coex_TST,37,33,0.029296829296829197
13,coex_PIT,33,36,0.009497145366710535
14,coex_LVR,27,35,0.2066734937702681
15,coex_THY,28,31,0.38394909688013135
16,coex_PNC,25,32,0.1315899122807016
17,coex_ATC,34,40,0.5953696343402228
18,coex_BRO,39,38,0.16798990483201015
19,coex_SKN,29,35,-0.029017857142857206
20,coex_ADS,29,30,0.643765828949932
21,coex_GEJ,25,32,0.6035253456221201
22,coex_BRB,31,22,0.3480104651831408
23,coex_UTR,25,22,0.91017316017316
24,coex_STM,34,33,0.02812807619655744
25,coex_HRA,27,29,0.2082459818308875
26,coex_PRS,28,28,-0.18386243386243373
27,coex_ATA,30,38,0.408838383838384
28,coex_FIB,19,29,0.15010586811857207
29,coex_BRC,33,32,0.07455565268065278
30,coex_ATT,32,33,0.5270577316948284
31,coex_TNV,24,28,0.5814270152505445
32,coex_SPL,27,29,0.2471036307243204
33,coex_LCL,9,23,-0.045454545454545414
34,coex_CLS,28,35,0.3116510538641686
35,coex_EMC,27,34,0.08921747205257313
36,coex_CLT,29,33,0.43913270637408575
37,coex_core,34,42,0.27091032273959104
38,coex_WBL,15,36,0.42581699346405255
39,co-essential,3,11,0.15769230769230758
40,GOBP,16,10,0.6193055555555551
41,ppi,50,50,0.26
42,reactome_copathway,17,25,0.7777777777777777
43,MP,16,16,1.2186454849498332
44,HP,26,27,0.18103737221384297
45,GI_net,16,23,-0.08343125734430101
46,gene_gene_on_CbG_name_mapped,11,11,0.5454545454545454
47,gene_gene_on_GcG_name_mapped,39,35,0.10450450450450455
48,GOMF,4,5,
