,Layer,Headache nodes,Myocardial_ischemia nodes,sAB
0,coex_KDN,39,42,-0.08808167141500478
1,coex_BST,30,28,0.4569023569023569
2,coex_OVR,37,31,0.10530027180881074
3,coex_LNG,40,34,0.2051525529265259
4,coex_ITI,39,39,0.12820512820512842
5,coex_VGN,34,33,0.314232825997532
6,coex_HRV,24,29,-0.09833502366463809
7,coex_MSG,42,41,-0.023463190742062157
8,coex_ADV,32,27,0.19220809792843685
9,coex_EMS,34,23,-0.09183604792031219
10,coex_SMU,28,27,0.334096459096459
11,coex_ARG,30,20,0.2373155527499411
12,coex_TST,37,32,0.27924867802585185
13,coex_PIT,39,35,0.17084447084447096
14,coex_LVR,33,37,0.029050440815146628
15,coex_THY,28,22,0.45006613756613767
16,coex_PNC,30,30,0.15000000000000036
17,coex_ATC,38,30,0.3955963426112681
18,coex_BRO,37,31,-0.014266465879369417
19,coex_SKN,32,30,0.5084352035048048
20,coex_ADS,24,23,0.5078502415458934
21,coex_GEJ,30,31,-4.440892098500626e-16
22,coex_BRB,24,28,-0.12385531135531136
23,coex_UTR,30,12,0.3833333333333333
24,coex_STM,40,35,0.40596868884540127
25,coex_HRA,32,31,0.07276785714285716
26,coex_PRS,35,31,0.0012477718360073276
27,coex_ATA,33,30,0.5637335828013792
28,coex_FIB,33,21,-0.08075258075258063
29,coex_BRC,34,26,-0.10686274509803906
30,coex_ATT,31,26,0.23176178660049596
31,coex_TNV,19,28,0.6020258980785296
32,coex_SPL,33,24,0.3123006379585327
33,coex_LCL,24,13,0.07638888888888884
34,coex_CLS,38,33,0.36871130030959764
35,coex_EMC,34,26,-0.10377073906485634
36,coex_CLT,38,35,-0.06391720407738699
37,coex_core,38,37,-0.008040935672514848
38,coex_WBL,31,27,0.34855600873398407
39,co-essential,8,9,-0.09444444444444455
40,GOBP,17,9,0.5
41,ppi,49,49,-0.12244897959183665
42,reactome_copathway,15,26,0.044871794871794934
43,MP,16,15,0.8491071428571426
44,HP,28,11,-0.07038794538794524
45,GI_net,21,20,0.1904761904761907
46,gene_gene_on_CbG_name_mapped,7,16,-0.11335403726708071
47,gene_gene_on_GcG_name_mapped,33,29,-0.04909495398928132
48,GOMF,2,6,
