,Layer,Gingival_disorder nodes,Periodontitis nodes,sAB
0,coex_KDN,48,36,0.41718660355708526
1,coex_BST,42,19,0.4094143404488233
2,coex_OVR,42,20,0.23655913978494647
3,coex_LNG,47,28,1.1423125252912487
4,coex_ITI,44,28,0.26525431659725807
5,coex_VGN,42,21,0.4071428571428575
6,coex_HRV,35,25,1.287631154156578
7,coex_MSG,47,30,0.46156396794694676
8,coex_ADV,38,27,1.034665991902834
9,coex_EMS,39,19,0.45714840714840754
10,coex_SMU,40,17,0.5522727272727272
11,coex_ARG,37,17,0.41466272043408603
12,coex_TST,46,21,0.295463675411761
13,coex_PIT,44,24,0.7119200509082495
14,coex_LVR,43,30,0.44070212955537746
15,coex_THY,43,17,1.5050474078965985
16,coex_PNC,42,24,0.9423395445134575
17,coex_ATC,39,27,0.421134421134421
18,coex_BRO,42,21,1.0912698412698414
19,coex_SKN,46,17,0.4722222222222219
20,coex_ADS,40,20,1.5373207301173402
21,coex_GEJ,39,26,0.7084455128205125
22,coex_BRB,29,20,1.1293983110485573
23,coex_UTR,42,12,0.3315742793791574
24,coex_STM,42,27,0.41246836899010786
25,coex_HRA,45,25,1.152466832504146
26,coex_PRS,45,18,0.2603415559772295
27,coex_ATA,39,19,1.3808281966176703
28,coex_FIB,39,14,0.3850646209136772
29,coex_BRC,42,16,0.3187089490968802
30,coex_ATT,43,18,0.8172854617163061
31,coex_TNV,32,18,1.3301132953181272
32,coex_SPL,45,26,0.8893403153966535
33,coex_LCL,30,11,0.43205128205128185
34,coex_CLS,44,18,0.24084658170192252
35,coex_EMC,43,23,0.13621043600821192
36,coex_CLT,42,18,0.3703817733990151
37,coex_core,48,31,0.7745833333333332
38,coex_WBL,40,28,0.5162878787878789
39,co-essential,15,10,0.27333333333333343
40,GOBP,25,17,0.8560606060606064
41,ppi,46,49,0.15198244057348353
42,reactome_copathway,9,29,0.9637445887445888
43,MP,12,15,1.2253246753246758
44,HP,8,13,0.2467948717948718
45,GI_net,18,21,0.37209690893901426
46,gene_gene_on_CbG_name_mapped,4,25,0.32551724137931015
47,gene_gene_on_GcG_name_mapped,35,30,0.16153846153846163
48,GOMF,6,2,
