,Layer,Rosacea nodes,Pneumonia nodes,sAB
0,coex_KDN,35,36,0.23600759144237382
1,coex_BST,18,23,-0.22209165687426546
2,coex_OVR,27,28,0.2962962962962963
3,coex_LNG,28,35,-0.0009953161592504145
4,coex_ITI,33,31,0.008767106549364634
5,coex_VGN,28,22,-0.043560606060605966
6,coex_HRV,25,31,-0.277139208173691
7,coex_MSG,38,38,0.03947368421052633
8,coex_ADV,18,35,-0.12038035339922137
9,coex_EMS,19,26,-0.08330194896902343
10,coex_SMU,20,23,-0.043402426693629925
11,coex_ARG,22,22,0.0
12,coex_TST,30,25,-0.11696969696969695
13,coex_PIT,29,33,0.16038022044696132
14,coex_LVR,25,32,-0.09827850877192978
15,coex_THY,28,23,0.03518146388990395
16,coex_PNC,21,26,-0.16179565115735328
17,coex_ATC,32,26,-0.2362637362637363
18,coex_BRO,29,35,0.018673029556650178
19,coex_SKN,29,23,-0.06299734748010621
20,coex_ADS,27,24,-0.031181917211329235
21,coex_GEJ,30,30,-0.10145139294759398
22,coex_BRB,26,28,-0.20288970288970276
23,coex_UTR,15,17,-0.17232142857142874
24,coex_STM,29,31,0.22953281423804217
25,coex_HRA,23,25,0.10711798839458408
26,coex_PRS,26,28,0.24824175824175843
27,coex_ATA,27,26,0.07547169811320753
28,coex_FIB,17,26,0.18353382628848935
29,coex_BRC,14,24,0.17042606516290704
30,coex_ATT,29,24,0.19164456233421756
31,coex_TNV,27,24,-0.04997276688453178
32,coex_SPL,27,23,-0.035040257648953466
33,coex_LCL,16,16,0.2217261904761907
34,coex_CLS,30,24,0.2817311862936456
35,coex_EMC,31,27,-0.07991978153268486
36,coex_CLT,31,29,-0.04342509499555347
37,coex_core,35,34,0.10197296309828285
38,coex_WBL,28,30,0.005458089668616051
39,co-essential,6,9,1.547979797979798
40,GOBP,23,12,1.389761904761905
41,ppi,48,50,0.09602040816326518
42,reactome_copathway,18,25,-0.057585139318885314
43,MP,13,11,0.22625418060200664
44,HP,18,12,0.17500000000000004
45,GI_net,9,22,0.14761904761904754
46,gene_gene_on_CbG_name_mapped,11,14,-0.18987012987012974
47,gene_gene_on_GcG_name_mapped,29,29,-0.0344827586206895
48,GOMF,6,2,
