,Layer,Rosacea nodes,Urticaria nodes,sAB
0,coex_KDN,35,39,-0.012087912087912045
1,coex_BST,18,16,0.18924731182795718
2,coex_OVR,27,25,-0.05698005698005715
3,coex_LNG,28,31,0.01330948338588378
4,coex_ITI,33,33,-0.19696969696969702
5,coex_VGN,28,27,-0.17307692307692313
6,coex_HRV,25,20,-0.4470930232558141
7,coex_MSG,38,33,-0.21371049262079667
8,coex_ADV,18,28,-0.06759874492432649
9,coex_EMS,19,21,0.025910931174089047
10,coex_SMU,20,21,-0.1188443670150987
11,coex_ARG,22,21,-0.1875461936437548
12,coex_TST,30,21,-0.14481792717086828
13,coex_PIT,29,30,-0.23459964932787858
14,coex_LVR,25,32,0.1230681818181818
15,coex_THY,28,24,-0.31775971258068436
16,coex_PNC,21,23,-0.4226425748164877
17,coex_ATC,32,26,0.12637362637362637
18,coex_BRO,29,26,-0.15775223499361424
19,coex_SKN,29,31,-0.3417422867513611
20,coex_ADS,27,28,-0.0555555555555558
21,coex_GEJ,30,30,-0.16781609195402303
22,coex_BRB,26,19,-0.5224246513720201
23,coex_UTR,15,14,0.1071428571428572
24,coex_STM,29,27,-0.4828498449188101
25,coex_HRA,23,21,-0.12245465672638245
26,coex_PRS,26,24,-0.31961538461538463
27,coex_ATA,27,25,-0.19923076923076888
28,coex_FIB,17,16,0.16716081593927923
29,coex_BRC,14,19,-0.2237448459859328
30,coex_ATT,29,29,0.13916256157635454
31,coex_TNV,27,18,-0.585185185185185
32,coex_SPL,27,35,-0.1306397306397309
33,coex_LCL,16,14,0.24999999999999956
34,coex_CLS,30,27,0.02898825312618447
35,coex_EMC,31,26,-0.15589447071492102
36,coex_CLT,31,26,-0.3607809847198642
37,coex_core,35,35,0.014567916718926321
38,coex_WBL,28,37,-0.03616116116116119
39,co-essential,6,5,0.4611111111111108
40,GOBP,23,25,-0.07145374005839145
41,ppi,48,48,-0.11458333333333348
42,reactome_copathway,18,22,-0.5252639517345399
43,MP,13,17,-0.0946994182288301
44,HP,18,25,-0.015813953488372112
45,GI_net,9,15,-0.31818181818181834
46,gene_gene_on_CbG_name_mapped,11,13,-0.17657342657342667
47,gene_gene_on_GcG_name_mapped,29,31,-0.22081942899517992
48,GOMF,6,8,
