,Layer,Laryngeal_edema nodes,Sinusitis nodes,sAB
0,coex_KDN,48,41,0.15435606060606077
1,coex_BST,32,21,0.6675824175824177
2,coex_OVR,37,33,0.32933680963572276
3,coex_LNG,42,43,0.6224285062862358
4,coex_ITI,43,39,0.2578282938464447
5,coex_VGN,45,31,0.3380022637238258
6,coex_HRV,30,28,0.23690476190476195
7,coex_MSG,48,40,0.19507575757575735
8,coex_ADV,31,31,0.571646859083192
9,coex_EMS,39,27,0.3987629329734592
10,coex_SMU,40,32,0.0558035714285714
11,coex_ARG,34,28,0.42074410409325
12,coex_TST,46,38,0.05105154189822403
13,coex_PIT,44,33,0.11688311688311703
14,coex_LVR,40,35,0.2279354207436397
15,coex_THY,38,37,0.45028449502133716
16,coex_PNC,41,34,0.06403156384505015
17,coex_ATC,39,38,0.4375752270489113
18,coex_BRO,42,36,0.2081807081807081
19,coex_SKN,47,33,0.19267966076476717
20,coex_ADS,34,37,0.33006535947712434
21,coex_GEJ,38,30,0.6728374142167244
22,coex_BRB,31,28,0.3892857142857147
23,coex_UTR,25,23,0.6257936507936512
24,coex_STM,44,37,0.257063882063882
25,coex_HRA,41,23,0.14216203850350184
26,coex_PRS,34,32,0.32932263814616736
27,coex_ATA,39,35,0.35308302808302816
28,coex_FIB,36,20,-0.09404761904761938
29,coex_BRC,42,25,0.14085998578535897
30,coex_ATT,39,35,0.18671418671418705
31,coex_TNV,26,22,0.7256701631701632
32,coex_SPL,45,37,0.21464879513660007
33,coex_LCL,19,21,0.11285566858322293
34,coex_CLS,44,29,0.1801880067718078
35,coex_EMC,41,36,0.3230563474465915
36,coex_CLT,46,35,0.10508312020460364
37,coex_core,46,40,0.5021865520728008
38,coex_WBL,34,37,-0.01823260708927643
39,co-essential,8,4,-0.666666666666667
40,GOBP,18,18,0.8074074074074074
41,ppi,50,49,0.23410018552875678
42,reactome_copathway,11,19,0.8771929824561404
43,MP,14,17,1.1162239089184056
44,HP,21,28,0.5059523809523809
45,GI_net,13,19,0.12537955465587025
46,gene_gene_on_CbG_name_mapped,7,11,-0.11544011544011523
47,gene_gene_on_GcG_name_mapped,31,28,-0.06835312036241481
48,GOMF,3,1,
