,Layer,Erythroderma nodes,Disorder_of_orbital_region nodes,sAB
0,coex_KDN,25,27,0.2406045751633985
1,coex_BST,19,25,0.3918660287081339
2,coex_OVR,31,23,0.5229598462417535
3,coex_LNG,27,24,0.5258569739952716
4,coex_ITI,24,27,0.1520969498910676
5,coex_VGN,41,24,0.32181832395247034
6,coex_HRV,9,10,0.16666666666666652
7,coex_MSG,38,26,0.40719888663967607
8,coex_ADV,13,20,0.3088578088578089
9,coex_EMS,24,15,0.7634615384615384
10,coex_SMU,20,19,0.44702886247877727
11,coex_ARG,15,20,0.60625
12,coex_TST,23,28,0.43400621118012417
13,coex_PIT,17,28,-0.10763305322128836
14,coex_LVR,18,18,-0.16666666666666652
15,coex_THY,21,21,0.3809523809523814
16,coex_PNC,13,20,0.07395104895104909
17,coex_ATC,20,21,-0.10055168408826942
18,coex_BRO,15,28,-0.023809523809523725
19,coex_SKN,40,22,0.15615835777126108
20,coex_ADS,35,19,1.2074696545284778
21,coex_GEJ,27,16,0.28042328042328046
22,coex_BRB,9,20,0.5074074074074073
23,coex_UTR,11,18,0.13514454893765215
24,coex_STM,21,19,0.11867167919799515
25,coex_HRA,16,16,0.15625
26,coex_PRS,24,23,0.14824879227053156
27,coex_ATA,17,18,0.07516339869281063
28,coex_FIB,12,16,-0.18465909090909083
29,coex_BRC,16,26,0.10473901098901095
30,coex_ATT,22,21,0.21796536796536792
31,coex_TNV,25,15,2.1416666666666666
32,coex_SPL,19,20,0.3583333333333334
33,coex_LCL,10,15,-0.25
34,coex_CLS,21,24,0.17803030303030276
35,coex_EMC,30,21,0.3458333333333332
36,coex_CLT,21,29,0.17077175697865354
37,coex_core,38,22,0.6106858054226476
38,coex_WBL,20,18,0.12953216374268983
39,co-essential,2,3,-0.20000000000000018
40,GOBP,25,28,1.9176731078904998
41,ppi,47,50,0.35303575345470484
42,reactome_copathway,14,10,2.0
43,MP,22,27,2.5420340529036185
44,HP,37,34,1.1711469132761594
45,GI_net,13,17,0.05656108597285048
46,gene_gene_on_CbG_name_mapped,3,11,0.03463203463203457
47,gene_gene_on_GcG_name_mapped,22,37,-0.050285262149669
48,GOMF,9,6,-0.06666666666666665
