,Layer,Bronchiectasis nodes,Gangrene nodes,sAB
0,coex_KDN,38,33,0.04874224874224886
1,coex_BST,26,21,0.047131946068116104
2,coex_OVR,23,27,-0.06397306397306401
3,coex_LNG,42,31,0.5073227700271445
4,coex_ITI,31,32,0.0958221326164872
5,coex_VGN,29,35,0.037561576354679715
6,coex_HRV,24,14,0.07298136645962705
7,coex_MSG,39,34,0.22628050166325742
8,coex_ADV,20,19,0.12850877192982457
9,coex_EMS,28,27,-0.018894801913669657
10,coex_SMU,27,22,0.15295815295815296
11,coex_ARG,22,22,0.09523809523809534
12,coex_TST,38,32,0.07438909774436087
13,coex_PIT,36,28,0.20833333333333326
14,coex_LVR,29,28,0.3928571428571428
15,coex_THY,31,24,0.3083266059278049
16,coex_PNC,31,24,0.15092592592592569
17,coex_ATC,28,25,0.2655256064690028
18,coex_BRO,37,26,0.3563557105492592
19,coex_SKN,26,34,0.2216414417225776
20,coex_ADS,26,23,0.16602962255136156
21,coex_GEJ,28,29,0.1065054878575753
22,coex_BRB,32,20,0.5318750000000001
23,coex_UTR,20,20,0.04999999999999982
24,coex_STM,35,29,0.18888546798029537
25,coex_HRA,27,23,-0.0805521952607986
26,coex_PRS,30,26,0.1593939393939392
27,coex_ATA,28,23,0.12799902569723542
28,coex_FIB,22,21,0.1629165408235178
29,coex_BRC,23,25,-0.016956521739130537
30,coex_ATT,31,22,0.33656032946093806
31,coex_TNV,17,16,1.0395833333333333
32,coex_SPL,27,31,0.4285214023812465
33,coex_LCL,26,25,0.1895090016366614
34,coex_CLS,34,23,0.03564370412196505
35,coex_EMC,34,30,0.16960784313725474
36,coex_CLT,30,28,-0.08333333333333304
37,coex_core,38,34,0.14201511684349222
38,coex_WBL,30,33,0.3505062944718118
39,co-essential,4,10,2.1361111111111115
40,GOBP,29,22,1.5077115866589552
41,ppi,49,49,0.13265306122448983
42,reactome_copathway,18,17,0.59375
43,MP,16,19,1.9548611111111112
44,HP,34,31,0.8550576558166691
45,GI_net,21,22,0.7927866706936477
46,gene_gene_on_CbG_name_mapped,12,12,0.625
47,gene_gene_on_GcG_name_mapped,35,30,0.13479853479853454
48,GOMF,7,6,
