,Layer,Huntington_disease nodes,Orthostatic_hypotension nodes,sAB
0,coex_KDN,41,36,0.06153873227043971
1,coex_BST,31,23,0.14361201792729483
2,coex_OVR,28,28,0.4285714285714284
3,coex_LNG,34,28,0.31282190295473056
4,coex_ITI,40,34,0.2878577106518283
5,coex_VGN,30,33,0.018398268398268414
6,coex_HRV,22,15,0.44935064935064917
7,coex_MSG,39,34,0.051927725779458145
8,coex_ADV,29,22,0.7467422705759423
9,coex_EMS,35,26,0.25104485678256117
10,coex_SMU,25,24,0.3333333333333335
11,coex_ARG,32,28,0.2503848522167491
12,coex_TST,31,36,0.12017198951479147
13,coex_PIT,32,31,0.19381240399385558
14,coex_LVR,32,30,0.2437499999999999
15,coex_THY,32,27,0.3296296296296295
16,coex_PNC,28,28,0.03571428571428603
17,coex_ATC,31,31,0.3123303366825314
18,coex_BRO,35,32,0.19390991471215369
19,coex_SKN,36,28,0.3977703984819736
20,coex_ADS,29,23,1.3029059449866907
21,coex_GEJ,37,28,0.2103825136612021
22,coex_BRB,23,21,0.21748541313758718
23,coex_UTR,26,22,0.2537878787878789
24,coex_STM,33,32,0.3548659673659671
25,coex_HRA,31,30,0.32458610684417133
26,coex_PRS,27,24,0.15192307692307683
27,coex_ATA,30,26,0.3220861288812604
28,coex_FIB,26,18,0.034965034965035
29,coex_BRC,33,26,0.162300975860298
30,coex_ATT,31,28,0.40060923221120026
31,coex_TNV,25,23,1.1676623376623376
32,coex_SPL,28,29,0.24812030075187952
33,coex_LCL,25,21,-0.12916666666666643
34,coex_CLS,35,28,0.3391100702576111
35,coex_EMC,33,30,0.17821067821067826
36,coex_CLT,34,32,0.26999909812409806
37,coex_core,38,33,0.23589282216999585
38,coex_WBL,33,28,0.21896955503512872
39,co-essential,10,7,0.27083333333333304
40,GOBP,12,16,1.058441558441558
41,ppi,50,50,0.3200000000000003
42,reactome_copathway,15,17,0.354522792022792
43,MP,16,20,0.7006109022556393
44,HP,18,29,0.5376823999347842
45,GI_net,16,25,0.6010714285714287
46,gene_gene_on_CbG_name_mapped,11,15,0.1745920745920746
47,gene_gene_on_GcG_name_mapped,33,35,0.05951525793492429
48,GOMF,8,8,
