,Layer,Cryptorchidism nodes,Erectile_dysfunction nodes,sAB
0,coex_KDN,36,43,-0.02617505642233331
1,coex_BST,31,29,0.36355209492028173
2,coex_OVR,38,34,0.09912729393817044
3,coex_LNG,35,34,-0.07327974668128112
4,coex_ITI,35,41,0.07228131303869434
5,coex_VGN,34,38,0.09509288586382736
6,coex_HRV,19,29,0.0848800745825915
7,coex_MSG,36,42,0.0030525030525030417
8,coex_ADV,25,26,0.019125188536952997
9,coex_EMS,31,34,0.014027149321266918
10,coex_SMU,33,33,-0.07575757575757569
11,coex_ARG,36,32,-0.07945960849186684
12,coex_TST,40,41,-0.08590033122553442
13,coex_PIT,34,40,0.030445151033386297
14,coex_LVR,31,38,-0.09182229767968297
15,coex_THY,32,32,-0.125
16,coex_PNC,32,33,0.09088723776223784
17,coex_ATC,33,31,0.07222934995112418
18,coex_BRO,33,36,-0.1100680720245939
19,coex_SKN,35,37,0.16527241527241543
20,coex_ADS,24,33,0.24262360446570952
21,coex_GEJ,34,34,0.4485400220694338
22,coex_BRB,17,28,0.06384220354808612
23,coex_UTR,29,23,-0.10367892976588622
24,coex_STM,34,38,-0.10444616443068444
25,coex_HRA,35,36,0.02157738095238093
26,coex_PRS,29,35,-0.004818349753694662
27,coex_ATA,31,29,0.43151120292388345
28,coex_FIB,30,28,-0.11852888490819535
29,coex_BRC,33,36,-0.07070707070707072
30,coex_ATT,32,36,0.078125
31,coex_TNV,15,29,0.3916666666666666
32,coex_SPL,33,31,0.00789650537634401
33,coex_LCL,27,26,0.05637531580927835
34,coex_CLS,34,38,0.08905228758169947
35,coex_EMC,29,33,-0.2325985101290995
36,coex_CLT,37,39,-0.041370317686107105
37,coex_core,38,42,0.09586466165413543
38,coex_WBL,36,31,0.12208781362007182
39,co-essential,15,16,0.8087225274725274
40,GOBP,15,10,1.1928571428571426
41,ppi,50,49,0.01903937332508776
42,reactome_copathway,23,23,0.2567791157275485
43,MP,10,7,-0.044642857142857206
44,HP,32,14,0.15430900621118004
45,GI_net,29,27,0.2503246753246753
46,gene_gene_on_CbG_name_mapped,22,18,0.046969696969697106
47,gene_gene_on_GcG_name_mapped,29,34,-0.13303712289513503
48,GOMF,7,4,
