,Layer,Cryptorchidism nodes,Testicular_neoplasm nodes,sAB
0,coex_KDN,36,41,-0.08691056910569106
1,coex_BST,31,32,-0.015304979518689255
2,coex_OVR,38,35,-0.026691729323308433
3,coex_LNG,35,41,0.22852558224830366
4,coex_ITI,35,36,0.041756092108204745
5,coex_VGN,34,42,0.08004329004329014
6,coex_HRV,19,15,-0.5841073271413828
7,coex_MSG,36,41,0.0741297997395558
8,coex_ADV,25,36,0.1489344262295087
9,coex_EMS,31,40,0.1824175824175822
10,coex_SMU,33,33,-0.045454545454545414
11,coex_ARG,36,35,-0.18164251207729465
12,coex_TST,40,43,-0.023949285514149654
13,coex_PIT,34,35,-0.058671294604798696
14,coex_LVR,31,34,-0.1862574806597579
15,coex_THY,32,32,0.017137096774193505
16,coex_PNC,32,33,0.171539918414918
17,coex_ATC,33,39,-0.0407418668288233
18,coex_BRO,33,34,-0.07575757575757569
19,coex_SKN,35,41,0.116357968090959
20,coex_ADS,24,32,0.3940972222222223
21,coex_GEJ,34,42,0.695269770879527
22,coex_BRB,17,12,-0.397227856659905
23,coex_UTR,29,41,-0.011227255129694136
24,coex_STM,34,36,-0.0729925303454717
25,coex_HRA,35,34,-0.0981028775146422
26,coex_PRS,29,35,0.07419950738916259
27,coex_ATA,31,30,0.26603128054740965
28,coex_FIB,30,33,-0.021758182492331635
29,coex_BRC,33,34,-0.013322425306621977
30,coex_ATT,32,35,0.10685634328358207
31,coex_TNV,15,21,0.1904761904761907
32,coex_SPL,33,34,-0.1333772314896109
33,coex_LCL,27,31,0.2569315700572654
34,coex_CLS,34,36,-0.04467787114845945
35,coex_EMC,29,38,0.15439061845595403
36,coex_CLT,37,38,-0.10810810810810811
37,coex_core,38,41,0.23172398846339815
38,coex_WBL,36,32,0.013007478632478753
39,co-essential,15,20,1.036607142857143
40,GOBP,15,17,1.1785714285714284
41,ppi,50,49,0.06057720057720051
42,reactome_copathway,23,22,0.5176345393736699
43,MP,10,10,0.4833333333333334
44,HP,32,23,0.03031126482213442
45,GI_net,29,27,0.014194139194139366
46,gene_gene_on_CbG_name_mapped,22,11,-0.1515151515151516
47,gene_gene_on_GcG_name_mapped,29,36,-0.07827880931329201
48,GOMF,7,3,
