,Layer,Pulmonary_fibrosis nodes,Disorder_of_orbital_region nodes,sAB
0,coex_KDN,42,27,0.20876466528640414
1,coex_BST,23,25,0.3608695652173912
2,coex_OVR,30,23,0.4395686771998615
3,coex_LNG,36,24,0.9112153482082488
4,coex_ITI,35,27,0.15123741252773515
5,coex_VGN,29,24,0.09183203209715907
6,coex_HRV,32,10,0.6382960704607044
7,coex_MSG,39,26,0.321794871794872
8,coex_ADV,31,20,0.6356736242884251
9,coex_EMS,28,15,0.6239479512735326
10,coex_SMU,25,19,0.25879742962056307
11,coex_ARG,21,20,0.35026132404181176
12,coex_TST,34,28,-0.014681356894471476
13,coex_PIT,33,28,0.4022321428571427
14,coex_LVR,35,18,0.41266846361186005
15,coex_THY,28,21,0.6632653061224492
16,coex_PNC,29,20,0.29875087966220937
17,coex_ATC,30,21,0.1954913880445801
18,coex_BRO,29,28,0.22781090657678682
19,coex_SKN,28,22,0.02332852332852342
20,coex_ADS,29,19,0.8069985569985567
21,coex_GEJ,34,16,0.4791666666666665
22,coex_BRB,23,20,0.31686108165429494
23,coex_UTR,17,18,0.34668534080298796
24,coex_STM,34,19,0.1854810444535313
25,coex_HRA,31,16,0.6587365591397849
26,coex_PRS,30,23,0.47939958592132514
27,coex_ATA,28,18,0.22777777777777786
28,coex_FIB,26,16,0.14434523809523814
29,coex_BRC,27,26,0.37659248508305065
30,coex_ATT,26,21,0.2333943833943839
31,coex_TNV,26,15,0.6310193871169485
32,coex_SPL,23,20,0.04522244691607691
33,coex_LCL,17,15,0.19166666666666687
34,coex_CLS,29,24,0.6314519626978963
35,coex_EMC,33,21,0.086298076923077
36,coex_CLT,34,29,0.2896029258098225
37,coex_core,37,22,0.3675092658143504
38,coex_WBL,27,18,0.0796296296296295
39,co-essential,14,3,-0.1470588235294117
40,GOBP,9,28,1.0611772486772484
41,ppi,50,50,0.24
42,reactome_copathway,27,10,2.144615384615385
43,MP,13,27,0.790965790965791
44,HP,20,34,0.6845860566448803
45,GI_net,21,17,0.24709752321981426
46,gene_gene_on_CbG_name_mapped,14,11,0.48272727272727267
47,gene_gene_on_GcG_name_mapped,31,37,-0.006756756756756799
48,GOMF,3,6,
