,Layer,Pyelonephritis nodes,Duodenal_ulcer nodes,sAB
0,coex_KDN,42,36,-0.13917748917748907
1,coex_BST,26,17,0.08285714285714274
2,coex_OVR,32,27,0.0150342242503263
3,coex_LNG,34,36,0.13590403903496884
4,coex_ITI,35,29,-0.161560960591133
5,coex_VGN,32,25,0.1881959378733573
6,coex_HRV,26,23,-0.1203501467476622
7,coex_MSG,35,33,-0.0713394448688569
8,coex_ADV,31,27,-0.11666666666666647
9,coex_EMS,22,20,0.0260162601626015
10,coex_SMU,26,15,-0.16801125703564734
11,coex_ARG,21,19,0.15607769423558882
12,coex_TST,27,31,-0.09574424257405334
13,coex_PIT,35,27,-0.23283192217618454
14,coex_LVR,36,34,-0.09927637721755378
15,coex_THY,25,18,0.212301587301587
16,coex_PNC,29,24,-0.10995605138607178
17,coex_ATC,30,25,0.32194968553459136
18,coex_BRO,30,30,-0.21666666666666656
19,coex_SKN,26,23,0.4617391304347822
20,coex_ADS,24,27,-0.22467320261437962
21,coex_GEJ,29,28,0.12607908660540224
22,coex_BRB,21,23,-0.14130434782608692
23,coex_UTR,20,15,0.1773809523809522
24,coex_STM,30,35,-0.14578754578754594
25,coex_HRA,25,27,0.10990580847723708
26,coex_PRS,29,25,-0.19644955300127753
27,coex_ATA,31,27,-0.03391812865497057
28,coex_FIB,20,20,-0.2250000000000001
29,coex_BRC,21,22,0.049808718413369535
30,coex_ATT,30,23,0.3591218305504018
31,coex_TNV,24,21,-0.0983436853002071
32,coex_SPL,27,23,0.1274657019998635
33,coex_LCL,14,16,0.14312169312169298
34,coex_CLS,33,26,-0.07372776679841908
35,coex_EMC,30,25,0.19775641025641066
36,coex_CLT,32,24,-0.0011574074074072183
37,coex_core,40,35,-0.08577533577533569
38,coex_WBL,29,32,0.050000000000000044
39,co-essential,4,8,-0.9166666666666665
40,GOBP,14,16,-0.5993589743589745
41,ppi,50,49,-0.09965161822304691
42,reactome_copathway,14,25,-0.3529411764705883
43,MP,16,7,1.0619047619047617
44,HP,13,16,-0.0714285714285714
45,GI_net,23,21,-0.26768774703557296
46,gene_gene_on_CbG_name_mapped,12,16,-0.12648809523809512
47,gene_gene_on_GcG_name_mapped,32,28,-0.060267857142857206
48,GOMF,4,7,
