,Layer,Essential_hypertension nodes,Erectile_dysfunction nodes,sAB
0,coex_KDN,42,43,-0.21131848088072425
1,coex_BST,27,29,0.3095588957657922
2,coex_OVR,25,34,-0.14536390827517431
3,coex_LNG,24,34,-0.16958248816768062
4,coex_ITI,37,41,-0.17001335294018216
5,coex_VGN,32,38,-0.11816259398496243
6,coex_HRV,21,29,-0.13326719576719603
7,coex_MSG,38,42,-0.04984335839599008
8,coex_ADV,28,26,0.1068376068376069
9,coex_EMS,21,34,-0.15612282648908615
10,coex_SMU,15,33,0.24652883348535548
11,coex_ARG,21,32,-0.1610835401157984
12,coex_TST,33,41,-0.06113541479395135
13,coex_PIT,26,40,-0.13717948717948714
14,coex_LVR,23,38,-0.19346700678996132
15,coex_THY,18,32,-0.06936524609843975
16,coex_PNC,25,33,-0.2945454545454549
17,coex_ATC,28,31,0.0075568226196987
18,coex_BRO,27,36,-0.10912698412698418
19,coex_SKN,30,37,0.33444213444213444
20,coex_ADS,24,33,-0.043560606060605966
21,coex_GEJ,27,34,0.3597194858804764
22,coex_BRB,25,28,-0.24314016172506725
23,coex_UTR,11,23,0.6700767263427112
24,coex_STM,28,38,0.12633857370699464
25,coex_HRA,21,36,-0.05637254901960809
26,coex_PRS,23,35,-0.0028271578496466
27,coex_ATA,26,29,-0.08740053050397911
28,coex_FIB,13,28,-0.02335164835164827
29,coex_BRC,27,36,-0.3730158730158728
30,coex_ATT,23,36,-0.12942151805453195
31,coex_TNV,21,29,0.21666666666666634
32,coex_SPL,22,31,0.011155195215916347
33,coex_LCL,9,26,-0.018099547511312153
34,coex_CLS,32,38,-0.04513888888888884
35,coex_EMC,24,33,-0.22159090909090917
36,coex_CLT,35,39,-0.20740127036730183
37,coex_core,34,42,0.0050626338677226546
38,coex_WBL,17,31,-0.07562460468058196
39,co-essential,11,16,0.19034090909090917
40,GOBP,17,10,-0.16666666666666696
41,ppi,48,49,-0.09326784837646396
42,reactome_copathway,13,23,0.10839160839160833
43,MP,15,7,0.46406926406926363
44,HP,26,14,0.1291208791208791
45,GI_net,17,27,-0.23109243697478954
46,gene_gene_on_CbG_name_mapped,22,18,0.021969696969696972
47,gene_gene_on_GcG_name_mapped,32,34,-0.24409536541889487
48,GOMF,7,4,
