,Layer,Respiratory_insufficiency nodes,Rhinitis nodes,sAB
0,coex_KDN,42,31,0.20952380952380967
1,coex_BST,34,13,-0.014303670186023076
2,coex_OVR,34,19,0.11797385620915035
3,coex_LNG,37,31,0.6013257090107187
4,coex_ITI,39,20,0.10077248824980223
5,coex_VGN,39,23,0.3596036969108498
6,coex_HRV,19,14,-0.5005696058327636
7,coex_MSG,43,30,0.40012211957098853
8,coex_ADV,33,19,0.3064347932768987
9,coex_EMS,33,26,0.9463869463869461
10,coex_SMU,41,14,0.19466265441875175
11,coex_ARG,36,14,-0.09373015873015866
12,coex_TST,40,28,0.16292016806722698
13,coex_PIT,38,25,0.11514619883040922
14,coex_LVR,39,20,0.10862068965517246
15,coex_THY,37,16,0.27331081081081043
16,coex_PNC,35,22,0.013269954446424759
17,coex_ATC,35,22,0.21279461279461298
18,coex_BRO,35,30,0.33791208791208804
19,coex_SKN,37,24,0.32402797534376493
20,coex_ADS,29,21,0.9445539135194307
21,coex_GEJ,30,28,1.3761904761904762
22,coex_BRB,18,23,0.04134150873281284
23,coex_UTR,32,20,0.5106907894736841
24,coex_STM,36,25,0.052449908925318756
25,coex_HRA,37,17,0.012331976815883827
26,coex_PRS,38,23,0.44889710019882223
27,coex_ATA,31,18,0.32934873789369323
28,coex_FIB,30,15,0.30555555555555536
29,coex_BRC,37,16,0.06179054054054056
30,coex_ATT,40,19,0.395753588516746
31,coex_TNV,18,15,1.6115966386554623
32,coex_SPL,34,17,0.14215686274509798
33,coex_LCL,28,9,0.10722610722610715
34,coex_CLS,38,20,0.13193456614509236
35,coex_EMC,36,22,0.4337662337662338
36,coex_CLT,40,20,0.044736842105263186
37,coex_core,41,28,0.652334014729355
38,coex_WBL,36,17,0.6982673572573685
39,co-essential,13,3,-0.024038461538461675
40,GOBP,20,15,0.6526785714285714
41,ppi,50,48,0.20501700680272106
42,reactome_copathway,7,14,0.8529411764705883
43,MP,13,15,0.6501831501831496
44,HP,31,19,0.6352801358234297
45,GI_net,17,20,0.051890756302520824
46,gene_gene_on_CbG_name_mapped,12,13,-0.039743589743589824
47,gene_gene_on_GcG_name_mapped,41,25,0.16277900960827796
48,GOMF,6,7,
