,Layer,Dermatitis nodes,Disorder_of_orbital_region nodes,sAB
0,coex_KDN,32,27,0.1911487758945387
1,coex_BST,19,25,0.3564599483204134
2,coex_OVR,23,23,0.5869565217391306
3,coex_LNG,34,24,0.7395152505446623
4,coex_ITI,26,27,0.1919582862979088
5,coex_VGN,23,24,0.16525979031760718
6,coex_HRV,25,10,0.6502777777777777
7,coex_MSG,32,26,0.3578000663129972
8,coex_ADV,22,20,0.5714285714285716
9,coex_EMS,23,15,0.32826086956521694
10,coex_SMU,25,19,0.15649122807017557
11,coex_ARG,23,20,0.7427489177489179
12,coex_TST,30,28,0.2862479474548443
13,coex_PIT,26,28,0.36116198616198614
14,coex_LVR,29,18,0.07593543653705037
15,coex_THY,24,21,0.5650793650793653
16,coex_PNC,22,20,0.40054112554112553
17,coex_ATC,23,21,0.2116506681724073
18,coex_BRO,28,28,0.1091390091390092
19,coex_SKN,29,22,0.27841293257114774
20,coex_ADS,27,19,0.8199827734711453
21,coex_GEJ,27,16,0.32539682539682513
22,coex_BRB,21,20,0.44981684981685
23,coex_UTR,12,18,0.3361111111111108
24,coex_STM,28,19,0.2478003519436891
25,coex_HRA,23,16,0.473592530657748
26,coex_PRS,25,23,0.3913043478260869
27,coex_ATA,19,18,0.3441994626205154
28,coex_FIB,17,16,0.06489527629233516
29,coex_BRC,22,26,0.23717948717948723
30,coex_ATT,24,21,0.362078977932637
31,coex_TNV,23,15,0.6723874904652938
32,coex_SPL,19,20,0.2301282051282052
33,coex_LCL,13,15,0.1730769230769229
34,coex_CLS,25,24,0.5943956213382666
35,coex_EMC,30,21,0.20233990147783243
36,coex_CLT,25,29,0.14976335361730908
37,coex_core,32,22,0.46959175084175087
38,coex_WBL,27,18,0.25000000000000044
39,co-essential,11,3,0.7000000000000002
40,GOBP,19,28,2.353884372177055
41,ppi,49,50,0.40602143887858166
42,reactome_copathway,25,10,2.282608695652174
43,MP,15,27,2.4502814258911823
44,HP,17,34,1.5441176470588238
45,GI_net,21,17,0.4114145658263304
46,gene_gene_on_CbG_name_mapped,12,11,0.31077075098814233
47,gene_gene_on_GcG_name_mapped,28,37,-0.0287347787347787
48,GOMF,6,6,
