,Layer,Epilepsy nodes,Absence_seizure nodes,sAB
0,coex_KDN,34,30,-0.08051470588235299
1,coex_BST,26,20,0.09489966555183948
2,coex_OVR,18,19,-0.12873399715505007
3,coex_LNG,25,17,0.125
4,coex_ITI,30,26,-0.16932234432234416
5,coex_VGN,34,20,-0.13513071895424833
6,coex_HRV,10,13,0.07727272727272716
7,coex_MSG,28,22,0.05103896103896122
8,coex_ADV,22,17,0.08456739339092278
9,coex_EMS,26,19,-0.30708502024291473
10,coex_SMU,22,15,0.09578214578214617
11,coex_ARG,34,25,0.08572283150548365
12,coex_TST,35,30,-0.061904761904761685
13,coex_PIT,42,28,-0.2238095238095239
14,coex_LVR,24,22,0.06373517786561256
15,coex_THY,22,16,-0.17344497607655507
16,coex_PNC,27,19,-0.1245020764471565
17,coex_ATC,28,17,0.3617647058823532
18,coex_BRO,49,43,-0.17332715733878534
19,coex_SKN,27,19,0.15650406504065062
20,coex_ADS,18,16,1.3392565359477122
21,coex_GEJ,29,22,-0.23036142356629163
22,coex_BRB,35,35,-0.23117768846669096
23,coex_UTR,24,16,0.0960585585585585
24,coex_STM,31,28,-0.12602515035538553
25,coex_HRA,27,20,0.2288416075650117
26,coex_PRS,25,20,-0.6116666666666666
27,coex_ATA,21,18,0.3363858363858361
28,coex_FIB,19,13,-0.034792510121457454
29,coex_BRC,46,31,0.01971482000935021
30,coex_ATT,24,19,0.7344448076713523
31,coex_TNV,21,16,-0.0028409090909091717
32,coex_SPL,21,22,0.4040571831269506
33,coex_LCL,16,12,-0.08818181818181836
34,coex_CLS,28,21,-0.0976190476190475
35,coex_EMC,24,18,-0.3293650793650791
36,coex_CLT,30,21,0.016272824919441486
37,coex_core,28,23,0.1813442768411715
38,coex_WBL,23,17,1.4404092071611254
39,co-essential,5,3,2.0
40,GOBP,28,30,0.2425196132092684
41,ppi,50,50,-0.08999999999999986
42,reactome_copathway,13,12,1.4413364413364411
43,MP,13,19,0.3725222146274776
44,HP,31,16,-0.052397906657515314
45,GI_net,17,12,-0.578346855983773
46,gene_gene_on_CbG_name_mapped,15,27,-0.23439153439153437
47,gene_gene_on_GcG_name_mapped,38,33,-0.07160185996360946
48,GOMF,4,5,
