,Layer,Epididymitis nodes,Goiter nodes,sAB
0,coex_KDN,42,35,0.1969696969696968
1,coex_BST,29,21,0.1938775510204085
2,coex_OVR,30,29,0.22967980295566504
3,coex_LNG,35,26,0.9887502328180293
4,coex_ITI,43,27,0.5061400270702596
5,coex_VGN,30,25,0.07939393939393935
6,coex_HRV,21,10,0.4396825396825399
7,coex_MSG,42,31,0.1775298276623949
8,coex_ADV,38,16,0.6529625951671632
9,coex_EMS,29,14,0.8845228548516442
10,coex_SMU,24,14,0.15351687090817512
11,coex_ARG,25,21,0.3777584204413471
12,coex_TST,28,18,0.06754658385093171
13,coex_PIT,33,26,0.36874283908182237
14,coex_LVR,28,19,0.16831306990881467
15,coex_THY,24,27,0.5561674718196454
16,coex_PNC,27,20,0.42257683215130015
17,coex_ATC,32,20,0.4329326923076926
18,coex_BRO,31,21,0.29470046082949297
19,coex_SKN,32,20,0.31057692307692286
20,coex_ADS,31,13,0.923471689600722
21,coex_GEJ,36,22,1.233766233766234
22,coex_BRB,25,15,-0.0942857142857143
23,coex_UTR,20,19,0.028923660502607973
24,coex_STM,32,23,0.6579138746039166
25,coex_HRA,28,15,0.21991991991991977
26,coex_PRS,28,18,0.10740740740740762
27,coex_ATA,29,22,0.5362762237762237
28,coex_FIB,22,23,0.26717171717171717
29,coex_BRC,29,22,-0.01724137931034475
30,coex_ATT,26,21,0.5176811594202895
31,coex_TNV,27,13,1.546033888139151
32,coex_SPL,23,24,0.166127042861548
33,coex_LCL,16,22,0.12436868686868685
34,coex_CLS,35,21,0.9915824915824913
35,coex_EMC,28,18,0.4193409247757076
36,coex_CLT,33,23,0.18536871270247213
37,coex_core,44,30,1.0805033450143358
38,coex_WBL,30,17,-0.008990404672506891
39,co-essential,15,9,1.2597402597402596
40,GOBP,9,20,0.9288461538461545
41,ppi,49,41,0.2753442840550855
42,reactome_copathway,22,7,0.49935897435897436
43,MP,15,14,0.9285714285714288
44,HP,14,38,0.2337286265857692
45,GI_net,25,16,0.8591158536585368
46,gene_gene_on_CbG_name_mapped,10,11,0.28008658008657994
47,gene_gene_on_GcG_name_mapped,28,21,0.011904761904761862
48,GOMF,5,2,
