,Layer,Ascites nodes,Kidney_damage nodes,sAB
0,coex_KDN,43,46,0.29614523806818815
1,coex_BST,33,35,0.22880882558301896
2,coex_OVR,28,37,0.2918770418770418
3,coex_LNG,29,41,0.43032560374864826
4,coex_ITI,35,43,0.10381171496082575
5,coex_VGN,30,39,0.3143827565469357
6,coex_HRV,23,24,0.7173913043478259
7,coex_MSG,38,44,0.2098552923328274
8,coex_ADV,28,30,0.483068783068783
9,coex_EMS,35,34,0.7336917817974644
10,coex_SMU,25,35,0.4980952380952379
11,coex_ARG,28,36,0.16309523809523796
12,coex_TST,35,43,-0.10783712411619373
13,coex_PIT,33,43,0.09147771317829467
14,coex_LVR,31,25,0.22688940092165888
15,coex_THY,32,40,0.8164796633941094
16,coex_PNC,36,32,0.5478670634920637
17,coex_ATC,37,38,0.8114272166903744
18,coex_BRO,34,42,0.22990006813536246
19,coex_SKN,33,40,0.19545973432959718
20,coex_ADS,29,30,1.1208455094486656
21,coex_GEJ,28,33,0.4336189766517635
22,coex_BRB,25,32,0.23590909090909085
23,coex_UTR,22,32,0.4471153846153846
24,coex_STM,34,39,0.05857559040476046
25,coex_HRA,29,36,0.5118994989684644
26,coex_PRS,29,32,0.4225599064874346
27,coex_ATA,32,32,0.7666666666666666
28,coex_FIB,22,28,-0.025510204081632626
29,coex_BRC,29,37,0.15498884464401685
30,coex_ATT,32,36,0.6423611111111112
31,coex_TNV,24,29,1.2008995502248876
32,coex_SPL,34,33,0.2863293569175922
33,coex_LCL,25,18,0.18089430894308967
34,coex_CLS,25,37,0.5187619877942458
35,coex_EMC,35,39,0.1399572649572649
36,coex_CLT,34,39,0.2895715165806303
37,coex_core,41,42,0.677620303230059
38,coex_WBL,31,17,-0.09586983729662091
39,co-essential,8,4,-0.12689393939393945
40,GOBP,19,25,0.7047465327594451
41,ppi,48,48,0.1875
42,reactome_copathway,15,13,1.2118171683389072
43,MP,14,22,-0.7014985014985013
44,HP,26,21,0.7722897669706181
45,GI_net,17,14,0.19284265430310077
46,gene_gene_on_CbG_name_mapped,6,4,0.2250000000000001
47,gene_gene_on_GcG_name_mapped,33,34,0.014526298986351716
48,GOMF,11,4,
