,Layer,Urinary_bladder_inflammation nodes,Primary_biliary_cholangitis nodes,sAB
0,coex_KDN,34,41,-0.014462355925770387
1,coex_BST,21,17,0.40943043884220387
2,coex_OVR,25,20,0.45813953488372094
3,coex_LNG,32,30,0.7627919911012238
4,coex_ITI,32,36,0.3636642156862746
5,coex_VGN,27,29,0.5523265620858333
6,coex_HRV,29,20,0.059417659591257
7,coex_MSG,33,28,0.2471384547655735
8,coex_ADV,23,24,0.7270601617795753
9,coex_EMS,17,22,0.382147264500206
10,coex_SMU,20,22,0.39935064935064934
11,coex_ARG,22,18,0.24755799755799757
12,coex_TST,30,28,0.24125615763546793
13,coex_PIT,34,26,0.337556561085973
14,coex_LVR,26,32,0.31456043956043933
15,coex_THY,21,30,0.36295566502463084
16,coex_PNC,25,22,0.18510638297872362
17,coex_ATC,26,24,0.3064102564102562
18,coex_BRO,34,24,0.14388945233265726
19,coex_SKN,24,28,0.4374999999999998
20,coex_ADS,26,22,0.14408508158508182
21,coex_GEJ,22,23,0.32608695652173925
22,coex_BRB,29,17,0.21267307522709245
23,coex_UTR,14,20,0.9616071428571429
24,coex_STM,25,30,0.8060606060606059
25,coex_HRA,24,27,0.4273469387755102
26,coex_PRS,20,26,0.2940165709443554
27,coex_ATA,25,24,0.34598639455782276
28,coex_FIB,20,21,0.38795005807200944
29,coex_BRC,31,22,0.3061074869830631
30,coex_ATT,21,28,0.41901993355481704
31,coex_TNV,21,19,0.1469298245614037
32,coex_SPL,23,35,0.807689012636539
33,coex_LCL,15,20,-0.10555555555555562
34,coex_CLS,23,29,0.2707920158659076
35,coex_EMC,24,30,0.3687127024722936
36,coex_CLT,25,32,0.5769886363636363
37,coex_core,33,37,0.42350928641251206
38,coex_WBL,26,33,0.6170933586187823
39,co-essential,10,2,-2.0
40,GOBP,4,18,0.5889423076923075
41,ppi,50,50,0.15999999999999992
42,reactome_copathway,26,19,0.5682860998650474
43,MP,9,22,0.7993646138807429
44,HP,16,27,0.24146748492678727
45,GI_net,19,25,0.027368421052631486
46,gene_gene_on_CbG_name_mapped,17,12,0.03406017579445564
47,gene_gene_on_GcG_name_mapped,33,33,-0.1515151515151516
48,GOMF,3,8,
