,Layer,Erythroderma nodes,Emphysema nodes,sAB
0,coex_KDN,25,36,0.14861111111111103
1,coex_BST,19,23,0.439988558352403
2,coex_OVR,31,29,0.40231738969225095
3,coex_LNG,27,33,0.7156881313131316
4,coex_ITI,24,30,0.35231481481481475
5,coex_VGN,41,29,0.3096039835664883
6,coex_HRV,9,31,0.3627627627627623
7,coex_MSG,38,38,0.2763157894736843
8,coex_ADV,13,21,0.49946132299073476
9,coex_EMS,24,25,0.26853741496598627
10,coex_SMU,20,21,0.3850998463901689
11,coex_ARG,15,23,0.32486631016042766
12,coex_TST,23,27,0.4475644122383253
13,coex_PIT,17,29,0.10625583566760044
14,coex_LVR,18,40,0.1397885739991005
15,coex_THY,21,25,0.40153209109730836
16,coex_PNC,13,27,0.35576923076923084
17,coex_ATC,20,26,0.37148829431438113
18,coex_BRO,15,26,0.09313186813186825
19,coex_SKN,40,31,0.5595238095238095
20,coex_ADS,35,27,1.4329310034228064
21,coex_GEJ,27,24,0.47440087145969523
22,coex_BRB,9,24,0.6066919191919193
23,coex_UTR,11,20,0.41771159874608177
24,coex_STM,21,35,0.2404761904761905
25,coex_HRA,16,25,0.5208333333333335
26,coex_PRS,24,23,0.014936016034535982
27,coex_ATA,17,22,0.32057416267942607
28,coex_FIB,12,21,0.25194805194805214
29,coex_BRC,16,24,0.14374999999999982
30,coex_ATT,22,29,0.5822510822510822
31,coex_TNV,25,23,1.9171717171717169
32,coex_SPL,19,32,0.3808210784313726
33,coex_LCL,10,22,0.3934169278996862
34,coex_CLS,21,27,0.36444444444444457
35,coex_EMC,30,32,0.20296052631578965
36,coex_CLT,21,28,0.15608465608465627
37,coex_core,38,33,0.5602803423411282
38,coex_WBL,20,33,0.180048076923077
39,co-essential,2,7,0.4285714285714288
40,GOBP,25,17,1.1814645308924483
41,ppi,47,49,0.40449956578376023
42,reactome_copathway,14,29,0.871978021978022
43,MP,22,13,2.2509023234829684
44,HP,37,22,0.6943114146503977
45,GI_net,13,18,0.40951959917477154
46,gene_gene_on_CbG_name_mapped,3,15,0.33333333333333304
47,gene_gene_on_GcG_name_mapped,22,29,-0.07219251336898402
48,GOMF,9,5,
